family,order
Kathablepharidae,Katablepharidales
Mesodiniidae,Cyclotrichiida
Nostocaceae,Nostocales
Triceratiaceae,Triceratiales
Stephanopyxidaceae,Melosirales
Phaeocystaceae,Phaeocystales
Pseudoanabaenaceae,Pseudanabaenales
Tintinnidae,Choreotrichida
Warnowiaceae,Gymnodiniales
Paramastigaceae,Spironematellales
Cyathomonadaceae,Goniomonadales
Peridiniaceae,Peridiniales
Chlorodendraceae,Chlorodendrales
Astasiidae,Natomonadida
Peroniaceae,Eunotiales
Geitlerinemataceae,Geitlerinematales
Scytomonadidae,Petalomonadida
Ellobiidae,Ellobiida
Plagiotropidaceae,Naviculales
Thiaridae,Caenogastropoda incertae sedis
Potamididae,Caenogastropoda incertae sedis
Paludomidae,Caenogastropoda incertae sedis
Tetrahymenidae,Tetrahymenida
Philodinidae,Philodinida
Geminocystaceae,Chroococcales
Romeriaceae,NA
Actinophryidae,Actinophryida
Bitectiporidae,Cheilostomatida
Aspidiscidae,Euplotida
Cinetochilidae,Philasterida
Stentoridae,Heterotrichida
Aeginidae,Narcomedusae
Vorticellidae,Sessilida
Histiobalantiidae,Pleuronematida
Litonotidae,Pleurostomatida
Chilodonellidae,Chlamydodontida
Glaucomidae,Tetrahymenida
Turaniellidae,Tetrahymenida
Vaginicolidae,Sessilida
Trachelophyllidae,Haptorida
Pleuronectidae,Pleuronectiformes
Anomoeoneidaceae,Cymbellales
Scoliotropidaceae,Naviculales
Diadesmidaceae,Naviculales
Radialiplicataceae,Paraliales
Holothuriidae,Holothuriida
Auriculaceae,Surirellales
Berkeleyaceae,Naviculales
Chlorobiaceae,Chlorobiales
Hydrococcaceae,Pleurocapsales
Hemidiniaceae,Suessiales
Pavlovaceae,Pavlovales
Schizotrichaceae,Oscillatoriales
Phaeodactylaceae,Naviculales
Euplotidae,Euplotida
Epistylididae,Sessilida
Strobilidiidae,Choreotrichida
Strombidiidae,Oligotrichia
Tintinnidiidae,Choreotrichida
Brachionidae,Ploima
Podolampadaceae,Peridiniales
Trichodinidae,Mobilida
Actinobolinidae,Haptorida
Didiniidae,Haptorida
Blepharismidae,Heterotrichida
Halteriidae,Halteriida
Cyclidiidae,Pleuronematida
Lacrymariidae,Haptorida
Suessiaceae,Suessiales
Leptobasaceae,Nostocales
Borghiellaceae,Suessiales
Borziaceae,Oscillatoriales
Scytonemataceae,Nostocales
Hyellaceae,Pleurocapsales
Entophysalidaceae,Chroococcales
Vaginulinidae,Vaginulinida
Chroococcidiopsidaceae,Chroococcidiopsidales
Chrysosaccaceae,Chrysosaccales
Merismopediaceae,Synechococcales
Tolypothrichaceae,Nostocales
Stichococcaceae,Prasiolales
Distigmatidae,Natomonadida
Peranemataceae,Peranemida
Chlorangiopsidaceae,Chlorophyceae incertae sedis
Gymnodiniales familia incertae sedis,Gymnodiniales
Heteroleibleiniaceae,Pseudanabaenales
Hexamitidae,Diplomonadida
Ammatoideaceae,Oscillatoriales
Chlorophyceae familia incertae sedis,Chlorophyceae incertae sedis
Mallomonadaceae,Synurales
Phaeothamniaceae,Phaeothamniales
Sphaeropleaceae,Sphaeropleales
Pleurochloridaceae,Mischococcales
Trichocoleusaceae,Leptolyngbyales
Pleurocapsaceae,NA
Operculariidae,Sessilida
Bromeliophryidae,NA
Synallactidae,Synallactida
Urocentridae,Peniculida
Picocystaceae,Picocystales
Tracheliidae,Haptorida
Laodiceidae,Leptothecata
Pseudourostylidae,NA
Oxytrichidae,NA
Urostylidae,NA
Condylostomatidae,Heterotrichida
Codonellidae,Choreotrichida
Stigonemataceae,Nostocales
