cleaned.taxa.name,resolved.taxa.name.manual
scenedesmus quadricauda longispina,Desmodesmus armatus
dinobryon divergens var. schauinslandii,dinobryon divergens
dinobryon suecicum longispinum,dinobryon suecicum
kephyrion welshii,kephyrion
aulacoseira ambigua japonica,aulacoseira ambigua
fragilaria crotonensis lacus-vulcani,Fragilaria prolongata
trachelomonas volvocina punctata,trachelomonas volvocina
notommata oculifera,dicranophorus forcipatus
aulacoseira ambigua curvata,aulacoseira ambigua
achnanthes brevipes brevipes,achnanthes brevipes
adlafia minuscula muralis,Navicula muralis
achnanthes exigua elliptica,achnanthes exigua
achnanthes minutissima inconspicua,achnanthes minutissima
brachysira brebissonii brebissonii,brachysira brebissonii
bacillaria paxillifera paxillifera,bacillaria paxillifera
cymbella excisa excisa,cymbella excisa
caloneis amphisbaena amphisbaena,Navicula amphisbaena
cymbopleura frequens frequens,cymbopleura frequens
cymbopleura kuelbsii kuelbsii,cymbopleura kuelbsii
cymbopleura naviculiformis naviculiformis,cymbopleura naviculiformis
cavinula cocconeiformis elliptica,Navicula cocconeiformis
cyclotella distinguenda distinguenda,cyclotella distinguenda
cyclotella distinguenda var. unipunctata,Epithemia operculata
cymbella excisa angusta,Cymbella affinis
cymatopleura elliptica elliptica,Surirella elliptica
cymbella excisiformis nonprotracta,cymbella excisiformis
cymbella excisa procera,cymbella excisa
cymbella excisiformis excisiformis,cymbella excisiformis
cymbella hustedtii hustedtii,cymbella hustedtii
cymbella kolbei kolbei,cymbella kolbei
cymbella laevis laevis,cymbella laevis
cymbella lanceolata lanceolata,cymbella lanceolata
cymbella neocistula neocistula,cymbella neocistula
cymbella neoleptoceros neoleptoceros,cymbella neoleptoceros
cocconeis placentula placentula,cocconeis placentula
cocconeis placentula klinoraphis,cocconeis placentula
cocconeis placentula pseudolineata,cocconeis placentula
cymbella proxima proxima,cymbella proxima
cymbopleura rhomboidea rhomboidea,cymbopleura rhomboidea
cymatopleura solea apiculata,cymatopleura solea
cymbopleura subaequalis subaequalis,Cymbella subaequalis
cymatopleura solea solea,cymatopleura solea
cymbella subtruncata subtruncata,cymbella subtruncata
cymbella tropica tropica,cymbella tropica
cymbella vulgata vulgata,cymbella vulgata
diadesmis contenta biceps,Navicula trinodis
diadesmis confervacea confervacea,diadesmis confervacea
denticula kuetzingii kuetzingii,denticula kuetzingii
denticula tenuis crassula,denticula tenuis
diatoma vulgaris lineare,diatoma vulgaris
eunotia arcus arcus,eunotia arcus
encyonema silesiacum latistriata,Cymbella silesiaca
eunotia muscicola muscicola,eunotia muscicola
entomoneis paludosa paludosa,entomoneis paludosa
eunotia praerupta praerupta,eunotia praerupta
eunotia pectinalis undulata,Fragilaria pectinalis
encyonema silesiacum ventriformis,Cymbella silesiaca
epithemia turgida turgida,Navicula turgida
fragilaria capucina capucina,fragilaria capucina
fallacia difficillimoides,Fallacia
fragilaria pinnata pinnata,fragilaria pinnata
fallacia pygmaea pygmaea,fallacia pygmaea
frustulia rhomboides amphipleuroides,Frustulia rhomboides
fragilaria zeilleri elliptica,fragilaria zeilleri
gomphonema bohemicum bohemicum,gomphonema bohemicum
gomphoneis eriense variabilis,gomphoneis eriense
