resolved.taxa.name,form,variety,species,genus,family,order,class,phylum,kingdom,rank,tol.id,source
Cleopatra elata,NA,NA,Cleopatra elata,Cleopatra,Paludomidae,NA,Gastropoda,Mollusca,Metazoa,species,7497128,tol
Cleopatra ferruginea,NA,NA,Cleopatra ferruginea,Cleopatra,Paludomidae,NA,Gastropoda,Mollusca,Metazoa,species,853628,tol
Cleopatra nsendweensis,NA,NA,Cleopatra nsendweensis,Cleopatra,Paludomidae,NA,Gastropoda,Mollusca,Metazoa,species,7957584,tol
Melanoides tuberculata,NA,NA,Melanoides tuberculata,Melanoides,Thiaridae,NA,Gastropoda,Mollusca,Metazoa,species,1016172,tol
Melanoides victoriae,NA,NA,Melanoides victoriae,Melanoides,Thiaridae,NA,Gastropoda,Mollusca,Metazoa,species,2887809,tol
Thiara amarula,NA,NA,Thiara amarula,Thiara,Thiaridae,NA,Gastropoda,Mollusca,Metazoa,species,409475,tol
Tomichia cawstoni,NA,NA,Tomichia cawstoni,Tomichia,Pomatiopsidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,2893315,tol
Tomichia differens,NA,NA,Tomichia differens,Tomichia,Pomatiopsidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,2893314,tol
Tomichia natalensis,NA,NA,Tomichia natalensis,Tomichia,Pomatiopsidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,2893317,tol
Tomichia rogersi,NA,NA,Tomichia rogersi,Tomichia,Pomatiopsidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,2893311,tol
Tomichia tristis,NA,NA,Tomichia tristis,Tomichia,Pomatiopsidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,2893312,tol
Tomichia ventricosa,NA,NA,Tomichia ventricosa,Tomichia,Pomatiopsidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,911003,tol
Tomichia zwellendamensis,NA,NA,Tomichia zwellendamensis,Tomichia,Pomatiopsidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,2893313,tol
Aplexa marmorata,NA,NA,Aplexa marmorata,Aplexa,Physidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,326769,tol
Physa acuta,NA,NA,Physa acuta,Physa,Physidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,55904,tol
