transf,treatment,plateloc,species,temp,Environment,Habitat,Invasion,who,counts,mF,Fsd,mFL3,sFL3,mssc,mFL4,sFL4,biomass,countsml,countsintransfer,biorepid,fulltreat,X,Extinct,corr.Extinct,size
17,OIn,C04,Ostreococcus,22,FW,away,co-culture,ostreo,6275,43833.32273,118387.3398,1.178540591,2.167160296,25328.62976,1.1455436,2.406049787,2.301362943,313752,62750.4,C04:ostreo,OIn:22,#REF!,1,1,1.185212995
18,OIn,C04,Ostreococcus,22,FW,away,co-culture,ostreo,6873,81076.6592,235780.3635,2.843455005,2.37226794,15224.4572,1.159362703,3.33407229,4.254645505,343665.63,68733.126,C04:ostreo,OIn:22,#REF!,1,1,1.266111485
19,OIn,C04,Ostreococcus,22,FW,away,co-culture,ostreo,7092,26702.70666,20366.01771,2.663040664,1.367573237,6181.4525,1.555387521,1.507403872,1.652314742,354600,70920,C04:ostreo,OIn:22,#REF!,1,1,1.148002554
20,OIn,C04,Ostreococcus,22,FW,away,co-culture,ostreo,6839,26702.70666,20366.01771,2.663040664,1.367573237,6181.4525,1.555387521,1.507403872,1.652314742,341950,68390,C04:ostreo,OIn:22,#REF!,1,1,1.148002554
21,OIn,C04,Ostreococcus,22,FW,away,co-culture,ostreo,6986,30220.33609,38886.91364,1.581341509,0.427703047,6424.404316,0.788895393,0.248926769,1.774044811,349300,69860,C04:ostreo,OIn:22,#REF!,1,1,1.155643409
22,OIn,C04,Ostreococcus,22,FW,away,co-culture,ostreo,6754,23377.92048,84325.59939,1.570382744,2.428709901,10931.65497,1.657417662,2.717600926,1.542500201,337700,67540,C04:ostreo,OIn:22,#REF!,1,1,1.140780586
23,OIn,C04,Ostreococcus,22,FW,away,co-culture,ostreo,6342,47855.61732,133395.3871,3.22521129,2.522345481,7652.142453,1.296597465,2.136937146,2.475061738,317100,63420,C04:ostreo,OIn:22,#REF!,1,1,1.193950063
24,OIn,C04,Ostreococcus,22,FW,away,co-culture,ostreo,6854,108107.3445,330067.8971,3.085874615,1.924301837,32167.72389,1.277016442,0.891161063,6.211495914,342700,68540,C04:ostreo,OIn:22,#REF!,1,1,1.324826461
25,OIn,C04,Ostreococcus,22,FW,away,co-culture,ostreo,7078,108107.3445,330067.8971,3.085874615,1.924301837,32167.72389,1.277016442,0.891161063,6.211495914,353900,70780,C04:ostreo,OIn:22,#REF!,1,1,1.324826461
0,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,1000,28742.17647,19190.57861,3.086650295,1.616794041,9331.529412,1.130487165,0.707879243,1.722188932,50000,10000,C05:ostreo,OIn:22,,1,1,1.152432609
1,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,101,28742.17647,19190.57861,3.086650295,1.616794041,9331.529412,1.130487165,0.707879243,1.722188932,5050,1010,C05:ostreo,OIn:22,#REF!,1,1,1.152432609
2,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,1284,43399.32944,117215.1879,1.166871872,2.145703263,25077.85125,1.134201584,2.382227512,2.283122466,64200,12840,C05:ostreo,OIn:22,#REF!,1,1,1.184270292
3,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,50,80273.92,233445.9045,2.815301985,2.348780139,15073.72,1.147883864,3.301061673,4.203892414,2500,500,C05:ostreo,OIn:22,#REF!,1,1,1.264367807
4,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,5288,22331.26645,55316.64975,1.666227942,0.700904657,6585.553328,0.807190899,0.356268778,1.508965598,264400,52880,C05:ostreo,OIn:22,#REF!,1,1,1.138507086
5,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,4545,22331.26645,55316.64975,1.666227942,0.700904657,6585.553328,0.807190899,0.356268778,1.508965598,227250,45450,C05:ostreo,OIn:22,#REF!,1,1,1.138507086
6,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6847,28742.17647,19190.57861,3.086650295,1.616794041,9331.529412,1.130487165,0.707879243,1.722188932,342350,68470,C05:ostreo,OIn:22,#REF!,1,1,1.152432609
7,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6874,41290,152696.6026,3.593992697,2.652801616,6791.202899,1.13322695,1.86087122,2.195840159,343700,68740,C05:ostreo,OIn:22,#REF!,1,1,1.179688491
