tax.uid,mean.mass,accepted.taxa.name,genus,family,order,class,phylum,kingdom
tax-2713,48477.95971389476,Hemitoma maeandrocystis,Hemitoma,Phacotaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-2714,32869.84046827769,Nephrocytium lunatum,Nephrocytium,Nephrocytiaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-2715,393.97148096142956,Coccomyxa,Coccomyxa,Coccomyxidae,Bivalvulida,Myxozoa,Cnidaria,Animalia
tax-2716,23700.042683507218,Acanthoceras,Acanthoceras,Acanthocerataceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista
tax-2717,415.8450031788479,Coronastrum,Coronastrum,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-2718,103922.71288904335,Dolichospermum curvum,Dolichospermum,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria
tax-2719,116.63314405388721,Gloeothece subtilis,Gloeothece,Aphanothecaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-272,206.5962120738326,Monoraphidium pusillum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2720,182.19216384469286,Kephyrion ovum,Kephyrion,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-2721,1265093.9919599993,Staurastrum ophiura,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2722,2656223.077489651,Peridinium raciborskii,Peridinium,Peridiniaceae,Peridiniales,Dinophyceae,Myzozoa,Chromista
tax-2723,28616.53287003225,Gymnodinium lacustre,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Myzozoa,Chromista
tax-2724,3951.9168875223904,Spiniferomonas bourrellyi,Spiniferomonas,Paraphysomonadaceae,Paraphysomonadales,Chrysophyceae,Ochrophyta,Chromista
tax-2725,1147.2187749511577,Pseudokephyrion alaskanum,Pseudokephyrion,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-2726,386994.4678380318,Staurastrum gracile,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2727,944.6913714343086,Kephyrion elegans,Kephyrion,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista
tax-2728,77943.10388659335,Katodinium,Katodinium,Tovelliaceae,Gymnodiniales,Dinophyceae,Myzozoa,Chromista
tax-2729,19474.397526821045,Trachelomonas furcata,Trachelomonas,Euglenidae,Euglenida,Euglenophyceae,Euglenozoa,Protozoa
tax-273,143.34625544444444,Tetrastrum heteracanthum,Tetrastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2730,3427.784550703289,Cryptaulax vulgaris,Cryptaulax,Neobodonidae,Neobodonida,Kinetoplastea,Euglenozoa,Protozoa
tax-2731,30698.99997494247,Achroonema,Achroonema,Pelonemataceae,Sphingobacteriales,Bacteroidia,Bacteroidetes,Bacteria
tax-2732,126259.34088812301,Cosmarium subcostatum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2733,6522.61993904803,Cosmarium sphagnicola,Cosmarium,Desmidiaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae
