BottleID,Treatment,UV,Date,Run,GD,meanvelocity,medianY,SizeMM,Tswimming,Tresting,areaexplored,DOC,Time,TSWP,depth
5_707,20,60,707,6,193.4662240785638,4.362638183905169,7.508970766129031,0.8117641945,1153,407,343.38861238168795,20,4.833333333333333,73.91025641025641,32.49102923387097
5_707,20,60,707,7,133.70578162228654,4.094641133309128,10.291694153225809,0.8117641945,849,711,63.5770608904752,20,5.15,54.42307692307692,29.70830584677419
5_707,20,60,707,8,177.89622515942122,4.758541002206741,6.412503024193547,0.8117641945,972,588,417.85459568919623,20,5.466666666666667,62.30769230769231,33.58749697580645
5_707,20,60,707,9,163.7566777813572,3.4391547837764844,5.9138982862903235,0.8117641945,1238,322,95.31509274280461,20,5.783333333333333,79.35897435897436,34.086101713709674
5_711,10,0,711,1,183.05126763974346,4.643251666959347,5.22821310483871,0.854356605,1025,535,918.7163854211142,10,0.08333333333333333,65.7051282051282,34.77178689516129
5_711,10,0,711,10,221.02186396113154,5.436677826858487,18.866578225806453,0.854356605,1057,503,1022.8681182201886,10,0.4,67.75641025641026,21.133421774193547
5_711,10,0,711,11,170.70325652180003,4.7570039330833875,7.2609560483870945,0.854356605,933,627,694.1004804343031,10,0.7166666666666667,59.80769230769231,32.739043951612906
5_711,10,0,711,12,187.00558287022807,5.002206949203631,14.613138911290322,0.854356605,972,588,571.5875186467703,10,1.0333333333333334,62.30769230769231,25.38686108870968
5_711,10,0,711,2,200.59822003765197,4.090630369395256,9.066286693548385,0.854356605,1275,285,846.087320572748,10,3.566666666666667,81.73076923076923,30.933713306451615
5_711,10,0,711,3,166.3085897042682,4.490159223583565,7.992865725806451,0.854356605,963,597,350.56625041708276,10,3.8833333333333333,61.73076923076923,32.00713427419355
5_711,10,0,711,4,185.43458825417355,4.493289184164504,6.816607258064516,0.854356605,1073,487,659.5288651947943,10,4.2,68.78205128205128,33.183392741935485
5_711,10,0,711,5,165.6800958972531,4.0034223915693135,6.44218447580645,0.854356605,1076,484,245.06403991430608,10,4.516666666666667,68.97435897435898,33.55781552419355
5_711,10,0,711,6,228.41283238900195,4.694651100485416,15.185903629032259,0.854356605,1265,295,1293.2558590385013,10,4.833333333333333,81.08974358974359,24.81409637096774
5_711,10,0,711,7,213.45980261641608,4.784443851747256,16.23828568548387,0.854356605,1160,400,852.1848637444627,10,5.15,74.35897435897436,23.76171431451613
5_711,10,0,711,8,231.50983158313298,4.925741097513468,21.09094112903226,0.854356605,1222,338,1148.7004051307765,10,5.466666666666667,78.33333333333333,18.90905887096774
5_711,10,0,711,9,221.73286642037704,4.593668945760799,23.382436491935486,0.854356605,1255,305,363.5855998362989,10,5.783333333333333,80.44871794871794,16.617563508064514
6_624,2.5,60,624,1,178.37011454727488,4.4764700562057405,4.421401411290322,0.9577746235,1036,524,178.56795469038696,2.5,0.1,66.41025641025641,35.57859858870968
6_624,2.5,60,624,10,163.3646909728607,4.0841172743215175,3.3789277217741933,0.9577746235,1040,520,38.368279326550535,2.5,0.4166666666666667,66.66666666666667,36.62107227822581
6_624,2.5,60,624,11,23.23179346268764,1.8642797223144405,2.684207157258065,0.9577746235,324,1236,8.251691480480257,2.5,0.7333333333333333,20.76923076923077,37.315792842741935
6_624,2.5,60,624,12,110.06906339530207,3.4437974106833376,3.013016532258065,0.9577746235,831,729,25.55148595763097,2.5,1.05,53.26923076923077,36.986983467741936
6_624,2.5,60,624,13,159.26505444659375,3.8555785992657707,2.8580182459677435,0.9577746235,1074,486,90.93849347397342,2.5,1.3666666666666667,68.84615384615384,37.14198175403226
6_624,2.5,60,624,14,92.9776519870173,3.2667823671114187,3.0004892137096792,0.9577746235,740,820,12.612755007094282,2.5,1.6833333333333333,47.43589743589744,36.99951078629032
6_624,2.5,60,624,15,75.9535065534233,3.981433811268157,3.294117338709678,0.9577746235,496,1064,33.203142813213006,2.5,2,31.794871794871796,36.705882661290325
6_624,2.5,60,624,16,75.92293948342066,3.397584210962026,2.5739929435483884,0.9577746235,581,979,23.421930368887644,2.5,2.316666666666667,37.243589743589745,37.42600705645161
6_624,2.5,60,624,17,44.52355429709935,2.0634802348031784,2.3198673387096784,0.9577746235,561,999,30.640128043361827,2.5,2.6333333333333333,35.96153846153846,37.68013266129032
6_624,2.5,60,624,18,117.98444242463054,3.287883711726039,2.5125348790322586,0.9577746235,933,627,58.62703706486781,2.5,2.95,59.80769230769231,37.48746512096774
6_624,2.5,60,624,19,116.15091003558999,3.100537639553737,2.6962543346774197,0.9577746235,974,586,103.51048704515476,2.5,3.2666666666666666,62.43589743589744,37.30374566532258
6_624,2.5,60,624,2,99.93388468472875,3.4459960236113365,5.88989122983871,0.9577746235,754,806,79.98904106859091,2.5,3.5833333333333335,48.333333333333336,34.11010877016129
6_624,2.5,60,624,3,117.11394306157466,4.00652963105387,5.269330645161292,0.9577746235,760,800,29.5145646543819,2.5,3.9,48.717948717948715,34.73066935483871
6_624,2.5,60,624,4,177.3296085780298,3.9883821998518814,2.919389012096776,0.9577746235,1156,404,207.7579419571919,2.5,4.216666666666667,74.1025641025641,37.08061098790323
6_624,2.5,60,624,5,131.21933652850768,3.579960912635047,3.1567969758064516,0.9577746235,953,607,48.48180048947452,2.5,4.533333333333333,61.08974358974359,36.84320302419355
6_624,2.5,60,624,6,151.5987731129897,4.489257518152315,3.1598524193548387,0.9577746235,878,682,41.568279905921216,2.5,4.85,56.282051282051285,36.84014758064516
6_624,2.5,60,624,7,138.80108835573824,3.6016250471548843,2.99743377016129,0.9577746235,1002,558,66.95936460150476,2.5,5.166666666666667,64.23076923076923,37.00256622983871
6_624,2.5,60,624,8,105.56203852324863,3.2365719358543212,2.879319052419356,0.9577746235,848,712,30.468156485975566,2.5,5.483333333333333,54.35897435897436,37.120680947580645
6_624,2.5,60,624,9,158.02744725301426,4.188291160630348,3.241738306451614,0.9577746235,981,579,120.73232034894623,2.5,5.8,62.88461538461539,36.758261693548384
6_630,2.5,0,630,1,166.9913213111411,4.158787695488187,11.216009475806452,0.895228563,1044,516,942.9396169020397,2.5,0.1,66.92307692307692,28.78399052419355
6_630,2.5,0,630,10,224.6565940398046,5.01379523178963,9.855114919354838,0.895228563,1165,395,1053.6960732908249,2.5,0.4166666666666667,74.67948717948718,30.14488508064516
6_630,2.5,0,630,11,236.200430066359,4.932699744357698,16.449984274193547,0.895228563,1245,315,990.4895665406717,2.5,0.7333333333333333,79.8076923076923,23.550015725806453
6_630,2.5,0,630,12,216.8992530071731,5.057740428866817,15.45652862903226,0.895228563,1115,445,1037.213382923014,2.5,1.05,71.47435897435898,24.54347137096774
6_630,2.5,0,630,13,174.53573373817383,4.367592952062098,4.2248054435483855,0.895228563,1039,521,305.0005753904546,2.5,1.3666666666666667,66.6025641025641,35.775194556451616
6_630,2.5,0,630,14,198.10675063548237,4.346646005504255,15.031210887096774,0.895228563,1185,375,717.5930104792868,2.5,1.6833333333333333,75.96153846153847,24.968789112903224
6_630,2.5,0,630,15,216.03719392586905,4.979580711057265,5.78351814516129,0.895228563,1128,432,703.5615478082733,2.5,2,72.3076923076923,34.21648185483871
6_630,2.5,0,630,16,229.90809376877363,5.261981019355734,13.530420665322584,0.895228563,1136,424,974.5449433160595,2.5,2.316666666666667,72.82051282051282,26.469579334677416
6_630,2.5,0,630,17,226.411895829746,5.517065877763257,26.59676310483871,0.895228563,1067,493,1076.9624629678735,2.5,2.6333333333333333,68.3974358974359,13.403236895161289
6_630,2.5,0,630,18,256.87136460371266,5.884277955679761,19.026945362903227,0.895228563,1135,425,1311.9929620004818,2.5,2.95,72.75641025641026,20.973054637096773
6_630,2.5,0,630,19,187.45219094680144,4.521110356787419,7.65894939516129,0.895228563,1078,482,783.0034151475927,2.5,3.2666666666666666,69.1025641025641,32.34105060483871
6_630,2.5,0,630,2,170.54572421681672,4.259547386779284,4.816252016129034,0.895228563,1041,519,694.9455345487163,2.5,3.5833333333333335,66.73076923076923,35.183747983870965
6_630,2.5,0,630,3,209.21713934988412,4.2798155964571105,8.252927620967744,0.895228563,1271,289,910.4525915428312,2.5,3.9,81.47435897435898,31.747072379032254
6_630,2.5,0,630,4,156.87094601517236,4.018369060487174,4.159331653225805,0.895228563,1015,545,295.6460811967829,2.5,4.216666666666667,65.06410256410257,35.840668346774194
6_630,2.5,0,630,5,177.18148174197677,4.203210333295069,7.203993850806452,0.895228563,1096,464,684.5944028491332,2.5,4.533333333333333,70.25641025641026,32.796006149193545
6_630,2.5,0,630,6,186.25289072153626,4.789886408268983,12.12504758064516,0.895228563,1011,549,845.7161655394636,2.5,4.85,64.8076923076923,27.87495241935484
6_630,2.5,0,630,7,157.72208810353706,4.697335957264563,12.15673689516129,0.895228563,873,687,778.500299848104,2.5,5.166666666666667,55.96153846153846,27.843263104838712
6_630,2.5,0,630,8,198.4381936288885,5.053274274584821,8.959695362903224,0.895228563,1021,539,898.0812146173474,2.5,5.483333333333333,65.44871794871794,31.040304637096774
6_630,2.5,0,630,9,215.1209407520403,4.731932706897671,23.104609375000003,0.895228563,1182,378,459.18508126183684,2.5,5.8,75.76923076923077,16.895390624999997
6_701,2,0,701,1,194.93660796804352,4.493219687206677,7.840879233870968,0.8792653534999999,1128,432,1039.355368071143,2,0.1,72.3076923076923,32.159120766129035
6_701,2,0,701,10,229.85357471022417,4.827296399406969,10.32783568548387,0.8792653534999999,1238,322,1202.036254399203,2,0.4166666666666667,79.35897435897436,29.67216431451613
6_701,2,0,701,11,234.7798068945506,4.518338252596829,7.029789919354839,0.8792653534999999,1351,209,1114.8877784219599,2,0.7333333333333333,86.6025641025641,32.97021008064516
6_701,2,0,701,12,202.28448886236308,4.154341793381864,9.202995967741934,0.8792653534999999,1266,294,518.3687003485884,2,1.05,81.15384615384616,30.797004032258066
6_701,2,0,701,13,180.8870304161754,4.3186986141602945,5.417737903225807,0.8792653534999999,1089,471,869.3294318985429,2,1.3666666666666667,69.8076923076923,34.582262096774194
6_701,2,0,701,14,172.37076316947457,4.092821773887068,6.236509475806454,0.8792653534999999,1095,465,369.7097615515924,2,1.6833333333333333,70.1923076923077,33.76349052419354
6_701,2,0,701,15,223.97950058839498,5.0727064593190505,7.593126411290323,0.8792653534999999,1148,412,617.4049317742231,2,2,73.58974358974359,32.40687358870968
6_701,2,0,701,16,193.12938225134647,4.3816439254232185,10.165809879032256,0.8792653534999999,1146,414,805.6907950338018,2,2.316666666666667,73.46153846153847,29.834190120967744
6_701,2,0,701,17,219.37335777651586,4.357301223979689,14.318681451612902,0.8792653534999999,1309,251,737.4075168911542,2,2.6333333333333333,83.91025641025641,25.681318548387097
6_701,2,0,701,18,209.13531124714714,4.707807872230152,13.372978024193548,0.8792653534999999,1155,405,1389.4003545371495,2,2.95,74.03846153846153,26.62702197580645
6_701,2,0,701,19,194.16867331898555,4.12449796265819,6.0089225806451605,0.8792653534999999,1224,336,480.43250812677854,2,3.2666666666666666,78.46153846153847,33.99107741935484
6_701,2,0,701,2,142.6883259651224,4.318855035032808,4.74300866935484,0.8792653534999999,859,701,186.56132655254956,2,3.5833333333333335,55.06410256410256,35.256991330645164
6_701,2,0,701,3,251.61514099821574,5.024572708105691,11.23338185483871,0.8792653534999999,1302,258,1050.3443929899372,2,3.9,83.46153846153847,28.76661814516129
6_701,2,0,701,4,191.3260511507772,4.240816138039392,4.811188709677421,0.8792653534999999,1173,387,355.6947045252376,2,4.216666666666667,75.1923076923077,35.188811290322576
6_701,2,0,701,5,181.94425861454354,4.081579572025998,4.478669153225806,0.8792653534999999,1159,401,248.1121580070009,2,4.533333333333333,74.2948717948718,35.52133084677419
6_701,2,0,701,6,247.2677978285277,4.874118835133981,11.515006451612903,0.8792653534999999,1319,241,1032.717975088662,2,4.85,84.55128205128206,28.484993548387095
6_701,2,0,701,7,159.52983253942637,4.219507269608429,5.074917137096772,0.8792653534999999,983,577,552.1867177346234,2,5.166666666666667,63.01282051282051,34.925082862903224
6_701,2,0,701,8,181.633295634848,4.3285661654500895,5.7332342741935465,0.8792653534999999,1091,469,817.617064754383,2,5.483333333333333,69.93589743589743,34.26676572580645
6_701,2,0,701,9,234.7424468929724,5.006811828726236,15.200307862903228,0.8792653534999999,1219,341,1005.5666986862691,2,5.8,78.14102564102564,24.79969213709677
6_706,20,60,706,1,136.83324668801157,3.5154786698500997,3.355007963709677,0.829837775,1012,548,82.12943510449387,20,0.1,64.87179487179488,36.644992036290326
6_706,20,60,706,10,120.30546360014112,3.6973310326284503,3.5648732862903247,0.829837775,846,714,250.28524802804085,20,0.4166666666666667,54.23076923076923,36.43512671370968
6_706,20,60,706,11,159.7493522333001,3.7418767189782005,4.085957358870967,0.829837775,1110,450,222.4296680976268,20,0.7333333333333333,71.15384615384616,35.91404264112903
6_706,20,60,706,12,132.15970528359247,3.232504550680531,5.519265927419355,0.829837775,1063,497,208.61558699752155,20,1.05,68.14102564102564,34.480734072580645
6_706,20,60,706,13,145.00669967452887,3.5500698602050385,4.575788608870965,0.829837775,1062,498,326.69037374558343,20,1.3666666666666667,68.07692307692308,35.424211391129035
6_706,20,60,706,14,151.49398465494474,4.102962084404753,4.919176814516128,0.829837775,960,600,151.4229342074525,20,1.6833333333333333,61.53846153846154,35.08082318548387
6_706,20,60,706,15,156.28970527393196,4.649350500139852,4.573475201612902,0.829837775,874,686,99.4617624138713,20,2,56.02564102564103,35.4265247983871
6_706,20,60,706,16,177.3979227841479,4.486717891427865,6.330355241935485,0.829837775,1028,532,192.0139673609824,20,2.316666666666667,65.8974358974359,33.669644758064514
6_706,20,60,706,17,232.73092548669658,4.817678393832891,9.980606350806452,0.829837775,1256,304,512.1827536460721,20,2.6333333333333333,80.51282051282051,30.019393649193546
6_706,20,60,706,18,200.0465603146127,4.719791804156017,5.309618850806452,0.829837775,1102,458,365.2837392176939,20,2.95,70.64102564102564,34.69038114919355
6_706,20,60,706,19,154.34742004307475,3.884833418315531,5.472212096774196,0.829837775,1033,527,387.9074189500515,20,3.2666666666666666,66.21794871794872,34.52778790322581
6_706,20,60,706,2,162.07942346800252,4.322117959146735,4.885566935483871,0.829837775,975,585,283.99713236745106,20,3.5833333333333335,62.5,35.11443306451613
6_706,20,60,706,3,143.63136830223843,3.4011070818380684,6.30748306451613,0.829837775,1098,462,50.375660785865065,20,3.9,70.38461538461539,33.69251693548387
6_706,20,60,706,4,100.93107804582999,3.8591294546935,5.183603629032259,0.829837775,680,880,105.39848916422923,20,4.216666666666667,43.58974358974359,34.81639637096774
6_706,20,60,706,5,128.92213887609694,3.707937622542611,3.8831195564516126,0.829837775,904,656,186.4383536014617,20,4.533333333333333,57.94871794871795,36.11688044354839
6_706,20,60,706,6,155.59457581879525,4.123811387654105,8.758123387096775,0.829837775,981,579,636.4049681485908,20,4.85,62.88461538461539,31.241876612903226
6_706,20,60,706,7,177.95894266961233,4.083788622603636,4.787967338709677,0.829837775,1133,427,241.6147289156156,20,5.166666666666667,72.62820512820512,35.21203266129032
6_706,20,60,706,8,146.7022327031837,3.369485910143796,5.1696358870967725,0.829837775,1132,428,39.58578581148493,20,5.483333333333333,72.56410256410257,34.830364112903226
6_706,20,60,706,9,181.12089411385477,3.6561671172051433,5.731051814516132,0.829837775,1288,272,240.35509840613753,20,5.8,82.56410256410257,34.268948185483865
6_707,10,60,707,1,154.25725066458423,3.56822821821992,4.353745161290323,0.7760527235,1124,436,55.745265607913446,10,0.1,72.05128205128206,35.64625483870968
6_707,10,60,707,10,152.57342151631943,3.378968449254093,4.511187802419357,0.7760527235,1174,386,183.65668208042712,10,0.4166666666666667,75.25641025641026,35.48881219758064
6_707,10,60,707,11,115.45764263777792,3.1107758638157783,4.3368092741935484,0.7760527235,965,595,34.484624090469104,10,0.7333333333333333,61.85897435897436,35.66319072580645
6_707,10,60,707,12,151.98492534867734,3.4094978939306393,3.7642191532258087,0.7760527235,1159,401,51.83412481907044,10,1.05,74.2948717948718,36.23578084677419
6_707,10,60,707,13,148.07620446902905,3.3890680600305947,4.851520564516131,0.7760527235,1136,424,218.4601213705776,10,1.3666666666666667,72.82051282051282,35.14847943548387
6_707,10,60,707,14,109.6150553519341,3.571417843546725,4.230436189516128,0.7760527235,798,762,92.28626428991964,10,1.6833333333333333,51.15384615384615,35.769563810483874
6_707,10,60,707,15,204.44794724179425,4.562786805396266,4.214067741935483,0.7760527235,1165,395,309.34913364193545,10,2,74.67948717948718,35.78593225806452
6_707,10,60,707,16,133.60494042226972,3.629810293603984,3.7454499999999995,0.7760527235,957,603,84.77982714529584,10,2.316666666666667,61.34615384615385,36.25455
6_707,10,60,707,17,108.30267136295916,3.1357120884598424,5.714421471774195,0.7760527235,898,662,59.01571116504896,10,2.6333333333333333,57.56410256410256,34.285578528225805
6_707,10,60,707,18,163.49073441740876,3.864326449866025,3.39638739919355,0.7760527235,1100,460,281.98689151476333,10,2.95,70.51282051282051,36.60361260080645
6_707,10,60,707,19,168.4749308003971,3.509894391674939,3.4375922379032255,0.7760527235,1248,312,127.89557835874851,10,3.2666666666666666,80,36.562407762096775
6_707,10,60,707,2,127.07891725489563,2.6927887926872747,3.1008387096774177,0.7760527235,1227,333,127.91865084847639,10,3.5833333333333335,78.65384615384616,36.89916129032258
6_707,10,60,707,3,141.19094010304505,2.967634957703453,4.6664479838709685,0.7760527235,1237,323,122.46755228293452,10,3.9,79.2948717948718,35.33355201612903
6_707,10,60,707,4,103.52493709800132,3.129823679707017,4.397699899193547,0.7760527235,860,700,155.31210782409204,10,4.216666666666667,55.12820512820513,35.60230010080645
