Genus;Species;Replicate.number;Group;Habitat;Trophic.group;Ref.tg;Body.length;Min.bl;Max.bl;Ref.bl;Dry.mass;Min.dm;Max.dm;Ref.dm;Cct.prop;Min.Cprop;Max.Cprop;Cct.total;Ref.C;Nct.prop;Min.Nprop;Max.Nprop;Nct.total;Ref.N;Pct.prop;Min.Pprop;Max.Pprop;Pct.total;Ref.P;N:Pct;Min.NP;Max.NP;Ref.NP;Protein.ct;Min.prot;Max.prot;Ref.prot;Lipid.ct;Min.lip;Max.lip;Ref.lip;Respiration.rt.ind;Respiration.rt.mg;Min.resp.mg;Max.resp.mg;Temp.resp.rt;Min.temp.resp.rt;Max.temp.resp.rt;Ref.resp;N-ammonia.ex.rt.ug.ind;N-ammonia.ex.rt.ug.dm;Min.Nex.rt.ug.dm;Max.Nex.rt.ug.dm;N-ammonia.ex.rt.nmol.dm;N-ammonia.ex.rt.nmol.ind;Min.Nex.rt.nmol.ind;Max.Nex.rt.nmol.ind;Temp.Nex.rt;Min.temp.Nex.rt;Max.temp.Nex.rt;Ref.N.ex;P-phosphate.ex.rt.ug.ind;P-phosphate.ex.rt.ug.dm;Min.Pex.rt.ug.dm;Max.Pex.rt.ug.dm;P-phosphate.ex.rt.nmol.dm;P-phosphate.ex.rt.nmol.ind;Min.Pex.rt.nmol.ind;Max.Pex.rt.nmol.ind;Temp.Pex.rt;Min.temp.Pex.rt;Max.temp.Pex.rt;Ref.P.ex;N:P.ex;Min.NP.ex;Max.NP.ex;Ref.NPex
Acartia;clausi;7;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0104;NA;NA;69;41,5;NA;NA;0,004316;69;12,09615385;NA;NA;0,00126;69;0,596153846;NA;NA;0,00006;69;44,8416129;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,035;NA;NA;NA;15,4;NA;NA;69;0,005;NA;NA;NA;NA;NA;NA;NA;15,4;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;clausi;8;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0108;NA;NA;69;41,5;NA;NA;0,004482;69;12,10185185;NA;NA;0,00131;69;0,601851852;NA;NA;0,00007;69;44,438;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,044;NA;NA;NA;15,4;NA;NA;69;0,0074;NA;NA;NA;NA;NA;NA;NA;15,4;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;clausi;9;Copepoda;Marine;NA;NA;NA;NA;NA;NA;NA;0,003;0,007;149, 150;NA;37,6;44,2;NA;81;NA;11,6;12,3;NA;81;NA;NA;NA;NA;NA;NA;8,18;20,55;149, 150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;clausi;10;Copepoda;Marine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41,2;45,3;NA;78;NA;11,3;12,3;NA;78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;hudsonica;NA;Copepoda;Marine;OmniHerb;78;NA;0,71;1,32;77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;lilljeborgi;NA;Copepoda;Marine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11,71;NA;NA;NA;184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;1;Copepoda;Marine;OmniCarn;78;NA;0,84;1,35;77;0,0086;NA;NA;69;43,39534884;NA;NA;0,003732;69;12;NA;NA;0,00103;69;0,604651163;NA;NA;0,00005;69;43,86;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,032;NA;NA;NA;7,3;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis-(M);NA;Copepoda;Marine;NA;NA;NA;0,8;1,15;77, 82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;2;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0068;NA;NA;69;43,39705882;NA;NA;0,002951;69;12;NA;NA;0,00082;69;0,602941176;NA;NA;0,00004;69;43,98439024;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,017;NA;NA;NA;9,7;NA;NA;69;0,0026;NA;NA;NA;NA;NA;NA;NA;9,7;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;3;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,007;NA;NA;69;43,4;NA;NA;0,003038;69;12;NA;NA;0,00084;69;0,6;NA;NA;0,00004;69;44,2;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,019;NA;NA;NA;9,7;NA;NA;69;0,0014;NA;NA;NA;NA;NA;NA;NA;9,7;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
