uid,species,Codon,Ecosytem,Habitat,Reference,Note,name
297,Ochromonas,E,"Lake Constance, Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),Ochromonas to X2,species.2
298,Flagellata,E,Lake Baikal (Russia),deep,Fietz et al. (2005),to  E,species.1
298,small (Chrysophyceae),E,Lake Baikal (Russia),deep,Fietz et al. (2005),to  E,species.2
298,Dynobrioncylindricum,E,Lake Baikal (Russia),deep,Fietz et al. (2005),to  E,species.3
299,Ochromonas cf. viridis; Chrysophyceae,E - W,Los Coipos Lake (Argentina),wetland,Fazio & O'Farrell (2005),"Ochromonas cf. viridis to X1; ""Chrysophyceae"" taxonomic resolution does not allow sorting into coda",species.1
300,Cryptomonas,Y,12 Belgian lakes,NA,Sarmento & Descy (2008),NA,species.1
301,Cryptomonas erosa,Y,Lake Balaton (Hungary),shallow,Hajnal & Padisák (2008),NA,species.1
301,Cryptomonas reflexa,Y,Lake Balaton (Hungary),shallow,Hajnal & Padisák (2008),NA,species.2
301,Gymnodinium spp.,Y,Lake Balaton (Hungary),shallow,Hajnal & Padisák (2008),NA,species.3
302,Cryptomonas marssonii,Y,Ventura Lagoon (Brazil),"shallow, eutrophic, floodplain lake",Bovo-Scoparin & Train (2008),NA,species.1
302,Cryptomonas sp.,Y,Ventura Lagoon (Brazil),"shallow, eutrophic, floodplain lake",Bovo-Scoparin & Train (2008),NA,species.2
303,Cryptomonas curvata,Y,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic","Crossetti & Bicudo (2008a, 2008b)",NA,species.1
303,Cryptomonas erosa,Y,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic","Crossetti & Bicudo (2008a, 2008b)",NA,species.2
303,Cryptomonas marsonii,Y,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic","Crossetti & Bicudo (2008a, 2008b)",NA,species.3
304,Cryptomonas sp.,Y,Capivari Reservoir (Brazil),dam reservoir,Borges et al. (2008),NA,species.1
305,Cryptomonas curvata,Y,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic",Fonseca & Bicudo (2008),NA,species.1
305,Cryptomonas erosa,Y,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic",Fonseca & Bicudo (2008),NA,species.2
305,Cryptomonas marssonii,Y,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic",Fonseca & Bicudo (2008),NA,species.3
306,Cryptomonas,Y,Müggelsee (Germany),"polymictic, eutrophic, shallow",Wilhelm & Adrian (2008),Rhodomonas to X2,species.1
306,Rhodomonas,Y,Müggelsee (Germany),"polymictic, eutrophic, shallow",Wilhelm & Adrian (2008),Rhodomonas to X2,species.2
307,Chroomonas,Y,"Reservoirs North Pine, Somerset, Wivenhoe (Australia)",drinking water reservoirs,Burford & O'Donohue (2006),to X2,species.1
308,Cryptomonas erosa,Y,21 floodplain lakes (Araguaia river) (Brazil),NA,Nabout et al. (2006),NA,species.1
308,Cryptomonas marssonii,Y,21 floodplain lakes (Araguaia river) (Brazil),NA,Nabout et al. (2006),NA,species.2
308,Cryptomonas obovata,Y,21 floodplain lakes (Araguaia river) (Brazil),NA,Nabout et al. (2006),NA,species.3
