uid,species,Codon,Ecosytem,Habitat,Reference,Note,name
351,Elakatothrix gelatinosa,F,IAG Reservoir (Brazil),"shallow,  oligotrophic",Lopes et al. (2005),NA,species.4
352,Sphaerocystis planctonica,F,Vouglans reservoir,"deep dam reservoir, stratification period, storm events",Leitão et al. (2003),NA,species.1
353,Botryococcus braunii,F,Stissing lake (USA),"shallow, mesoeutrophic, dimictic",Huszar et al. (2003),NA,species.1
354,Botryococcus braunii,F,Mohonk Lake (USA),"deep, oligotrophic, dimictic, clear epilimnia, low nutrient",Huszar et al. (2003),NA,species.1
354,Willea wilhelmii,F,Mohonk Lake (USA),"deep, oligotrophic, dimictic, clear epilimnia, low nutrient",Huszar et al. (2003),NA,species.2
354,Eutetramorus planctonicus,F,Mohonk Lake (USA),"deep, oligotrophic, dimictic, clear epilimnia, low nutrient",Huszar et al. (2003),NA,species.3
354,Oocystis borgei,F,Mohonk Lake (USA),"deep, oligotrophic, dimictic, clear epilimnia, low nutrient",Huszar et al. (2003),NA,species.4
355,Botryococcus braunii,F,Lake Arancio (Italy),"hypertrophic, very dynamic, water level fluctuations",Naselli-Flores & Barone (2003),NA,species.1
355,Botryococcus terribilis,F,Lake Arancio (Italy),"hypertrophic, very dynamic, water level fluctuations",Naselli-Flores & Barone (2003),NA,species.2
355,Pseudosphaerocystis lacustris,F,Lake Arancio (Italy),"hypertrophic, very dynamic, water level fluctuations",Naselli-Flores & Barone (2003),NA,species.3
356,Botriococcus braunii,F,Lower Paraná river wetland (Argentina),shallow lake and three relict oxbows lakes,O'Farrell et al. (2003),NA,species.1
357,Oocytis borgei,F,Kuzgun Dam Reservoir (Turkey),oligo-mesotrophic,Gurbuz et al. (2003),NA,species.1
358,Oocystis lacustris,F,Ömerli Reservoir (Istanbul),drinking water,Albay & Akçaalan (2003),NA,species.1
358,Oocystis borgei,F,Ömerli Reservoir (Istanbul),drinking water,Albay & Akçaalan (2003),NA,species.2
359,Sphaerocystis schroeteri,F,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.1
359,Sphaerocystis planctonicus,F,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.2
359,Botryococcus neglectus,F,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.3
359,Botryococcus terribilis,F,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.4
359,Eutetramorus fotii,F,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.5
359,Eutetramorus planctonicus,F,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.6
359,Planktosphaeria gelatinosa,F,Lake Rodó (Uruguay),"shallow,  polymictic",Kruk et al. (2002),NA,species.7
360,Coelastrum microporum,F,Lake Balaton (Hungary),Shallow,Hajnal & Padisák (2008),Coelastrum microporum to J,species.1
360,Botryococcus braunii,F,Lake Balaton (Hungary),Shallow,Hajnal & Padisák (2008),Coelastrum microporum to J,species.2
361,Kirchneriella,F,"Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),"Glenodinium to Y, Ketablepharis and Kephyrion to X2",species.1
361,Glenodinium,F,"Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),"Glenodinium to Y, Ketablepharis and Kephyrion to X2",species.2
361,Ketablepharis,F,"Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),"Glenodinium to Y, Ketablepharis and Kephyrion to X2",species.3
361,Kephyrion,F,"Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),"Glenodinium to Y, Ketablepharis and Kephyrion to X2",species.4
362,Oocystis parva,F,Lake Blanca (Uruguay),yellow-brownish shallow,Mazzeo et al. (2003),NA,species.1
363,Volvox,G,Hungarian rivers,"Short, nutriet-rich water columns, small pools among macrophytes",Borics et al. (2007),NA,species.1
363,Eudorina,G,Hungarian rivers,"Short, nutriet-rich water columns, small pools among macrophytes",Borics et al. (2007),NA,species.2
364,Eudorina,G,"Lake Geneva, Upper and Lower Lake Zürich, Lake Walen","monomictic, peri-alpine",Anneville et al. (2005),NA,species.1
365,Pandorina,G,"Lake Constance, lake Walen","monomictic, peri-alpine",Anneville et al. (2005),NA,species.1
366,Pandorina morum,G,Chodikee lake (USA),"shallow, eutrophic",Huszar et al. (2003),NA,species.1
367,Pandorina morum,G,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.1
368,Tetraedron,G,Lake Geneva,"monomictic, peri-alpine",Anneville et al. (2005),to J,species.1
369,Coelastrum reticulatum,J,Faxinal Reservoir,"deep, meso-eutrophic, warm monomictic, atelomictic, water  supply",Becker et al. (2008),NA,species.1
370,Pediastrum boryanum,J,Lake Manyas (Turkey),"shallow, hypertrophic",Çelik & Ongun (2008),NA,species.1
371,Scenedesmus communis,J,Lake Nero (Russia),"shallow, eutrophic",Babanazarova & Lyashenko (2007),NA,species.1
372,Coelastrum microporum,J,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Gouni et al. (2007),NA,species.1
372,Coelastrum astroideum,J,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Gouni et al. (2007),NA,species.2
372,Pediastrum boryanum,J,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Gouni et al. (2007),NA,species.3
372,Pediastrum duplex,J,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Gouni et al. (2007),NA,species.4
372,Pediastrum simplex,J,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Gouni et al. (2007),NA,species.5
372,Pediastrum tetras,J,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Gouni et al. (2007),NA,species.6
372,Scenedesmus acuminatus,J,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Gouni et al. (2007),NA,species.7
372,Scenedesmus sp.,J,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Gouni et al. (2007),NA,species.8
373,Scenedesmus ellipticus,J,21 floodplain lakes (Araguaia river) (Brazil),NA,Nabout et al. (2006),NA,species.1
373,Tetrastrum komarekii,J,21 floodplain lakes (Araguaia river) (Brazil),NA,Nabout et al. (2006),NA,species.2
373,Tetrastrum triangulare,J,21 floodplain lakes (Araguaia river) (Brazil),NA,Nabout et al. (2006),NA,species.3
374,Pediastrum simplex,J,Lake Arancio (Italy),"hypertrophic reservoir, water level fluctuations",Naselli-Flores & Barone (2005),NA,species.1
374,Pediastrum duplex,J,Lake Arancio (Italy),"hypertrophic reservoir, water level fluctuations",Naselli-Flores & Barone (2005),NA,species.2
374,Pediastrum boryanum,J,Lake Arancio (Italy),"hypertrophic reservoir, water level fluctuations",Naselli-Flores & Barone (2005),NA,species.3
374,Pediastrum biwae,J,Lake Arancio (Italy),"hypertrophic reservoir, water level fluctuations",Naselli-Flores & Barone (2005),NA,species.4
374,Coelastrum microporum,J,Lake Arancio (Italy),"hypertrophic reservoir, water level fluctuations",Naselli-Flores & Barone (2005),NA,species.5
374,Coelastrum pseudomicroporum,J,Lake Arancio (Italy),"hypertrophic reservoir, water level fluctuations",Naselli-Flores & Barone (2005),NA,species.6
375,Scenedesmus ecornis,J,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),NA,species.1
375,Scenedesmus obliquus,J,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),NA,species.2
375,Scenedesmus dimorphus,J,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),NA,species.3
375,Scenedesmus quadricauda,J,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),NA,species.4
376,Pediastrum,J,"Lake Geneva, Lake Zürich","monomictic, peri-alpine",Anneville et al. (2005),NA,species.1
377,Scenedesmus spp.,J,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic",Crossetti & Bicudo (2005),NA,species.1
378,Tetraedron minimum,J,IAG Reservoir (Brazil),"shallow, oligotrophic",Lopes et al. (2005),NA,species.1
378,Tetraedron caudatum,J,IAG Reservoir (Brazil),"shallow, oligotrophic",Lopes et al. (2005),NA,species.2
378,Crucigenia tetrapedia,J,IAG Reservoir (Brazil),"shallow, oligotrophic",Lopes et al. (2005),NA,species.3
378,,J,IAG Reservoir (Brazil),"shallow, oligotrophic",Lopes et al. (2005),NA,species.4
379,Coelastrum reticulatum,J,Lake Fuxian; Lake Xingyun (China),deep oligotrophic;  shallow eutrophic,Zhang et al. (2007),NA,species.1
379,Tetraedron tumidulum,J,Lake Fuxian; Lake Xingyun (China),deep oligotrophic;  shallow eutrophic,Zhang et al. (2007),NA,species.2
380,Scenedesmus quadricauda,J,Pomba river (Brazil),Eutrophic,Soares et al. (2007),NA,species.1
381,Pediastrum boryanum,J,Ömerli Reservoir (Istanbul),drinking water,Albay & Akçaalan (2003),NA,species.1
381,Scenedesmus quadricauda,J,Ömerli Reservoir (Istanbul),drinking water,Albay & Akçaalan (2003),NA,species.2
381,Coelastrum microporum,J,Ömerli Reservoir (Istanbul),drinking water,Albay & Akçaalan (2003),NA,species.3
382,Colonial green algae,J,12 Belgian lakes,NA,Sarmento & Descy (2008),"""colonial green algae"" taxonomic resolution does not allow sorting into coda",species.1
382,Pediastrum,J,12 Belgian lakes,NA,Sarmento & Descy (2008),"""colonial green algae"" taxonomic resolution does not allow sorting into coda",species.2
382,Scenedesmus,J,12 Belgian lakes,NA,Sarmento & Descy (2008),"""colonial green algae"" taxonomic resolution does not allow sorting into coda",species.3
382,Coelastrum,J,12 Belgian lakes,NA,Sarmento & Descy (2008),"""colonial green algae"" taxonomic resolution does not allow sorting into coda",species.4
383,Chlorophytes,J,Sardis Reservoir (USA),water level changes,Sthapit et al. (2008),"""Chlorophytes"" taxonomic resolution does not allow sorting into coda",species.1
384,Scenedesmus,J,Hungarian rivers,NA,Borics et al. (2007),Micratinium to F,species.1
384,Golenkinia,J,Hungarian rivers,NA,Borics et al. (2007),Micratinium to F,species.2
384,Tetrastrum,J,Hungarian rivers,NA,Borics et al. (2007),Micratinium to F,species.3
384,Crucigenia,J,Hungarian rivers,NA,Borics et al. (2007),Micratinium to F,species.4
384,Actinastrum,J,Hungarian rivers,NA,Borics et al. (2007),Micratinium to F,species.5
384,Micratinium,J,Hungarian rivers,NA,Borics et al. (2007),Micratinium to F,species.6
385,Actinastrum hantzschi,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.1
385,Ankistrodesmus gracilis,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.2
385,Coelastrum microporum,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.3
385,Coelastrum pseudomicroporum,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.4
385,Crucigenia quadrata,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.5
385,Dictyosphaerium ehrenbergianum,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.6
385,Dictyosphaerium pulchellum,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.7
385,Golenkinia radiata,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.8
385,Micractinium pusillum,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.9
385,Pediastrum tetras,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.10
385,Scenedesmus acuminatum,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.11
385,Scenedesmus acuminatum var. bernardii,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.12
385,Scenedesmus acutus,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.13
385,Scenedesmus arcuatum,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.14
385,Scenedesmus bicaudatus,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.15
385,Scenedesmus ecornis,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.16
385,Scenedesmus quadricauda var. parvus,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.17
385,Tetraedron caudatum,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.18
385,Tetraedron gracilis,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.19
385,Tetraedron incus,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.20
385,Tetraedron mediocris,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.21
385,Tetraedron minimum,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.22
385,Tetraedron triangulare,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.23
385,Tetraedron victoriae,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.24
385,Tetrastrum elegans,J,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),"Ankistrodesmus gracilis to X1; Dictyosphaerium ehrenbergianum, D. pulchellum and Micractinium pusillum to F",species.25
386,Actinastrum hantzschii,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.1
386,Coelastrum microporum,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.2
386,Coelastrum pseudomicroporum,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.3
386,Crucigenia tetrapedia,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.4
386,Crucigenia fenestrata,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.5
386,Micractinium pusillum,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.6
386,Scenedesmus acuminatus,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.7
386,Scenedesmus ecornis,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.8
386,Scenedesmus intermedius,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.9
386,Scenedesmus protuberans,J,Paraná river (Argentina),NA,Devercelli (2006),Micractinium pusillum to F,species.10
387,Dictyosphaerium,J,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),Dictyosphaerium and Oocystis to F,species.1
387,Oocystis,J,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),Dictyosphaerium and Oocystis to F,species.2
387,Scenedesmus,J,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),Dictyosphaerium and Oocystis to F,species.3
387,Tetraedron,J,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),Dictyosphaerium and Oocystis to F,species.4
388,Goniochlorys mutica,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.1
388,Coelastrum astroideum,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.2
388,Coelastrum pseudomicroporum,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.3
388,Treubaria triappendiculata,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.4
388,Scenedesmus obliquus,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.5
388,Scenedesmus quadricauda,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.6
388,Crucigenia tetrapedia,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.7
388,Tetraedron trigonium,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.8
388,Tetraedron minimun,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.9
388,Oocystis marina,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.10
388,Lobocystis planctonica,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.11
388,Tetrastrum glabrum.,J,Hungarian shallow lakes,NA,Padisák et al. (2003a),"Treubaria triappendiculata, Oocystis marina, Lobocystis planctonica to F",species.12
389,Pediastrum duplex,J,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Oocystis lacustris and Treubaria triappendiculata to F,species.1
389,Coelastrum reticulatum,J,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Oocystis lacustris and Treubaria triappendiculata to F,species.2
389,Coelastrum microporum,J,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Oocystis lacustris and Treubaria triappendiculata to F,species.3
389,Oocystis lacustris,J,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Oocystis lacustris and Treubaria triappendiculata to F,species.4
389,Treubaria triappendiculata,J,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Oocystis lacustris and Treubaria triappendiculata to F,species.5
389,Scenedesmus spp.,J,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Oocystis lacustris and Treubaria triappendiculata to F,species.6
390,Coelastrum spp.,J,Lake Garda (Italy),"deep, subalpine",Salmaso (2002),"""coccal green algae"" taxonomic resolution does not allow sorting into coda",species.1
390,coccal green algae,J,Lake Garda (Italy),"deep, subalpine",Salmaso (2002),"""coccal green algae"" taxonomic resolution does not allow sorting into coda",species.2
391,Ankistrodesmus fusiformis,J,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),to X1,species.1
392,Ankistrodesmus/Monoraphidium,J - X1,Lake Samsonvale (Australia),dam reservoir,Antenucci et al. (2005),accepted as X1,species.1
393,Aphanocapsa delicatissima,K,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic","Crossetti & Bicudo (2008a, 2008b)",NA,species.1
393,Aphanocapsa elachista,K,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic","Crossetti & Bicudo (2008a, 2008b)",NA,species.2
393,Aphanothece smithii,K,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic","Crossetti & Bicudo (2008a, 2008b)",NA,species.3
393,Aphanocapsa incerta,K,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic","Crossetti & Bicudo (2008a, 2008b)",NA,species.4
394,Aphanocapsa elachista,K,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic",Fonseca & Bicudo (2008),NA,species.1
394,Aphanocapsa incerta,K,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic",Fonseca & Bicudo (2008),NA,species.2
394,Cyanodictyon,K,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic",Fonseca & Bicudo (2008),NA,species.3
395,Aphanocapsa,K,12 Belgian lakes,NA,Sarmento & Descy (2008),NA,species.1
395,Aphanothece,K,12 Belgian lakes,NA,Sarmento & Descy (2008),NA,species.2
396,Aphanothece stagnina,K,Pomba river (Brazil),Eutrophic,Soares et al. (2007),NA,species.1
396,Aphanocapsa sp.,K,Pomba river (Brazil),Eutrophic,Soares et al. (2007),NA,species.2
397,Aphanothece,K,Hungarian rivers,"Short, nutrient-rich columns",Borics et al. (2007),NA,species.1
397,Aphanocapsa,K,Hungarian rivers,"Short, nutrient-rich columns",Borics et al. (2007),NA,species.2
398,Aphanocapsa elachista,K,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Goun et al. (2007),NA,species.1
398,Aphanothece,K,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Goun et al. (2007),NA,species.2
399,Aphanocapsa sp.,K,Paraná river (Argentina),NA,Devercelli (2006),NA,species.1
399,Aphanocapsa delicatissima,K,Paraná river (Argentina),NA,Devercelli (2006),NA,species.2
400,Aphanocapsa,K,"Reservoirs North Pine, Somerset, Wivenhoe (Australia)",drinking water reservoirs,Burford & O'Donohue (2006),NA,species.1
400,Aphanothece,K,"Reservoirs North Pine, Somerset, Wivenhoe (Australia)",drinking water reservoirs,Burford & O'Donohue (2006),NA,species.2
401,Aphanocapsa sp.,K,"Foz do Areia, Segredo, Salto Santiago, Salto Osório, Salto Caxias reservoirs (Brazil)",cascading reservoir,Silva et al. (2005),NA,species.1
402,Aphanothece,K,Los Coipos Lake (Argentina),Wetland,Fazio & O'Farrell (2005),NA,species.1
403,Aphanocapsa elachista,K,Vouglans reservoir,"deep dam reservoir,  stratification period",Leitão et al. (2003),NA,species.1
404,Aphanothece nidulans,K,Wononscopomuc lake (USA),"deep, mesotrophic, dimictic",Huszar et al. (2003),NA,species.1
404,Aphanocapsa elachista,K,Wononscopomuc lake (USA),"deep, mesotrophic, dimictic",Huszar et al. (2003),NA,species.2
405,Aphanocapsa sp.,K,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.1
406,small-celled colonial Chroococcales,K,Lower Paraná river wetland (Argentina),shallow lake and three relict oxbow lakes,O'Farrell et al. (2003),NA,species.1
407,Aphanothece spp.,K,Lake Garda (Italy),"deep, subalpine",Salmaso (2002),NA,species.1
408,Coelosphaerium evidenter-marginatum,K,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic",Crossetti & Bicudo (2008b),to Lo,species.1
409,Gloeocapsa punctata,K,Pomba river (Brazil),Eutrophic,Soares et al. (2007),to TC,species.1
410,Aphanothece,K,Lake Geneva,"monomictic, peri-alpine",Anneville et al. (2005),Phacotus to XPh,species.1
410,Phacotus,K,Lake Geneva,"monomictic, peri-alpine",Anneville et al. (2005),Phacotus to XPh,species.2
411,Coelosphaerium kuetzingianum,K,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),Coelosphaerium spp. to Lo,species.1
412,Eucapsis minuta,K,"Lake Boeckella, Lake Chico (Antartic)","Antarctic lakes, oligotrophic, meso-eutrophic",Allende & Izaguirre (2003),Eucapsis minuta and Chroococcus minutus to Lo,species.1
412,Chroococcus minutus,K,"Lake Boeckella, Lake Chico (Antartic)","Antarctic lakes, oligotrophic, meso-eutrophic",Allende & Izaguirre (2003),Eucapsis minuta and Chroococcus minutus to Lo,species.2
412,Aphanocapsa elachista,K,"Lake Boeckella, Lake Chico (Antartic)","Antarctic lakes, oligotrophic, meso-eutrophic",Allende & Izaguirre (2003),Eucapsis minuta and Chroococcus minutus to Lo,species.3
413,Coelosphaerium sp.,K,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Coelosphaerium spp. to Lo,species.1
413,Aphanocapsa nubilum,K,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Coelosphaerium spp. to Lo,species.2
413,Aphanocapsa delicatissima,K,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Coelosphaerium spp. to Lo,species.3
413,Aphanocapsa elachista,K,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Coelosphaerium spp. to Lo,species.4
413,Aphanothece minutissima,K,Lake Rodó (Uruguay),"shallow, polimictic",Kruk et al. (2002),Coelosphaerium spp. to Lo,species.5
414,Anabaena crassa,H,Faxinal Reservoir,"deep, meso-eutrophic, warm monomictic, atelomictic, water  supply",Becker et al. (2008),to H1,species.1
415,Aphanizomenon flos-aquae,H,Lake Xingyun (China),shallow eutrophic,Zhang et al. (2007),to H1,species.1
415,Anabaena spp.,H,Lake Xingyun (China),shallow eutrophic,Zhang et al. (2007),to H1,species.2
416,Anabaena,H,Lower Lake Zürich,"monomictic, peri-alpine",Anneville et al. (2005),to H1,species.1
417,Anabaena affinis,H,9 Greek lakes,"shallow and deep, oligo- to hypertrophic",Vardaka et al. (2005),Anabaena lemmermannii to H2; others to H1,species.1
417,Anabaena aphanizomenoides,H,9 Greek lakes,"shallow and deep, oligo- to hypertrophic",Vardaka et al. (2005),Anabaena lemmermannii to H2; others to H1,species.2
417,Anabaena cf. circinalis,H,9 Greek lakes,"shallow and deep, oligo- to hypertrophic",Vardaka et al. (2005),Anabaena lemmermannii to H2; others to H1,species.3
417,Anabaena cf. scheremetievi,H,9 Greek lakes,"shallow and deep, oligo- to hypertrophic",Vardaka et al. (2005),Anabaena lemmermannii to H2; others to H1,species.4
417,Anabaena cf. solitaria,H,9 Greek lakes,"shallow and deep, oligo- to hypertrophic",Vardaka et al. (2005),Anabaena lemmermannii to H2; others to H1,species.5
417,Anabaena circinalis,H,9 Greek lakes,"shallow and deep, oligo- to hypertrophic",Vardaka et al. (2005),Anabaena lemmermannii to H2; others to H1,species.6
