Taxa,08/03/2018,12/04/2018,09/05/2018,07/06/2018,09/07/2018,09/07/2018,07/08/2018,07/09/2018,07/09/2018,01/10/2018,14/11/2018,14/11/2018,03/12/2018,14/01/2019,18/02/2019,12/03/2019,01/04/2019,08/05/2019,08/05/2019,06/06/2019,06/06/2019,25/06/2019,25/06/2019,11/07/2019,11/07/2019,29/08/2019,17/09/2019,21/10/2019,19/11/2019,18/12/2019,21/01/2020,18/02/2020,17/03/2020,20/04/2020,14/05/2020,23/06/2020,23/06/2020,08/07/2020,05/08/2020,17/09/2020,20/10/2020,12/11/2020,15/12/2020
Cryptomonas erosa,,,,3.900E-03,,,,,,,,,,,,1.477E-02,2.215E-02,,,3.297E-02,3.297E-02,,1.648E-01,3.140E-02,1.648E-02,,,8.310E-03,8.241E-03,5.078E-03,3.649E-02,2.230E-02,,2.253E-02,3.211E-02,7.433E-02,6.307E-02,1.397E-01,4.460E-02,1.487E-01,7.433E-02,1.126E-02,1.425E-02
Cryptomonas marssonii,,,,,3.699E-02,5.802E-03,,3.264E-02,,,1.842E-01,2.132E-01,3.213E-01,2.974E-02,2.940E-03,4.120E-03,8.240E-03,7.357E-03,1.471E-02,4.598E-02,1.839E-02,,,8.758E-03,,1.104E-02,9.196E-03,,1.839E-03,1.012E-02,1.485E-02,4.386E-02,6.632E-03,1.238E-02,4.644E-03,,1.768E-02,2.653E-02,5.730E-02,1.061E-02,5.305E-03,2.653E-03,4.598E-02
Cryptomonas obovata,4.820E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptomonas ovata,,,,2.457E-02,8.395E-02,4.095E-02,1.044E-01,,9.214E-02,,1.638E-02,,8.190E-03,,,,2.326E-02,3.116E-02,,5.193E-02,1.298E-01,1.731E-01,,7.418E-02,2.596E-02,,,8.726E-03,,5.090E-03,2.096E-03,1.048E-03,,3.493E-03,5.242E-03,,2.795E-02,,4.192E-03,,,,4.095E-04
Cryptomonas sp.,,6.514E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plagioselmis nannoplanctica,,,,,5.473E-02,,,,,,,,,,,,,,,,,4.849E-03,,1.247E-02,4.365E-03,6.401E-03,,3.492E-03,4.655E-03,,4.704E-04,,,2.509E-03,7.055E-03,4.704E-03,9.407E-03,1.035E-02,7.526E-04,,,,1.944E-02
Chromulina sp.,,,3.535E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinobryon bavaricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.866E-02,,,,,,,,,,,
Dinobryon divergens,,7.695E-03,3.450E-03,,5.334E-01,2.237E-01,,,,,,,,,,,,1.414E-02,1.376E-02,6.595E-02,1.724E-01,1.571E-03,1.571E-03,,,,,,,3.769E-04,5.625E-03,,7.045E-04,5.448E-02,2.467E-03,,,,,4.227E-03,,,
Mallomonas sp.,,,,,,,,,,,,,,1.286E-03,,,,,,,,,,,,,,,,,2.647E-04,1.757E-03,9.143E-04,,,1.497E-02,2.662E-02,,,8.323E-03,,,
Ochromonas sp.,,,,,,,,,,,,,,,,,,,,,,3.377E-02,1.070E-01,,,4.053E-03,8.443E-04,,8.498E-05,1.147E-03,7.118E-05,,,,,,,,,,,,
Ceratium hirundinella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.819E-02,,
Gymnodinium cnecoides,7.940E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnodinium hiemale,,,,3.295E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnodinium lantzschii,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.852E-03,1.426E-03,,,,,,,,,,,,,,
Gymnodinium mitratum,,,,,,,1.370E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnodinium sp.,,7.437E-04,,,,,,4.347E-03,6.831E-03,,,,,,,7.037E-02,,,1.760E-03,3.520E-02,2.640E-02,2.008E-02,3.347E-02,3.225E-02,2.963E-02,,,,,,,,,,,4.838E-02,9.675E-02,1.370E-02,1.370E-03,,,,
Gymnodinium uberrimum,1.000E-03,,,1.016E+00,,,,,,,1.000E-03,1.000E-03,,,,,,,,,,,3.762E-02,3.386E-02,4.515E-02,3.160E-01,1.129E-01,2.257E-02,1.242E-02,,2.878E-03,,,,,,,,,,,,
Peridiniopsis elpatiewskyi,,,,,,,1.320E-01,4.800E-02,4.800E-02,2.400E-02,,,,,,,5.682E-02,,,,3.043E-01,5.072E-01,7.103E-02,,1.421E-02,7.671E-02,,,,,,,,,,,,,,,,,
Peridinium sp.,,,,,,,,,,,,,,,,,,9.062E-04,,,,,,,,,,,,,,,1.828E-04,,,,,,,,,,3.656E-04
Peridinium umbonatum,,,,1.185E-02,,,1.580E-02,1.580E-02,1.580E-02,,,,,,,1.310E-02,1.684E-02,1.684E-02,9.822E-03,2.806E-02,2.806E-02,1.637E-01,2.339E-02,,4.677E-03,4.490E-02,3.951E-04,5.613E-03,,,,,,,,,,9.130E-03,2.054E-03,2.054E-02,,,
Tyrannodinium edax,,2.381E-02,2.211E-02,1.701E-03,,,,,1.191E-02,3.402E-03,,1.701E-03,1.000E-03,3.402E-03,1.380E-02,2.420E-03,6.440E-03,2.416E-03,4.833E-03,3.021E-03,3.021E-03,1.007E-02,,6.947E-02,3.423E-02,1.087E-02,3.402E-04,,,,,,,,,,,,,,,,
Aphanizomenon yezoense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.682E-02,,
Aphanocapsa delicatissima,,,,,,,,,,,,,,,,,,,,,,6.964E-02,4.128E-02,,,,,,,3.139E-03,,,,,,,,,,,,,
