Taxa,27/03/2019,30/04/2019,14/05/2019,26/06/2019,08/07/2019,29/08/2019 (8m),29/08/2019 (I),17/09/2019,21/10/2019,19/11/2019,15/12/2019,21/01/2020,12/02/2020,17/03/2020,20/04/2020,13/05/2020,23/06/2020,06/07/2020,05/08/2020,16/09/2020,22/10/2020,11/11/2020
Cianobacteria cocoide,,,,,,,,,,,,1.131E-02,,,,,,,,,,
Leptolyngbya sp.,,,,,,,,,,,4.475E-06,,,,,,,,,,,
Limnothrix redekei,,,,,,1.121E-04,,,,,,,,,,,,,,,,
Oscillatoria sp.,,,,,,,,,,,,,,,,,,,,,7.441E-04,
Planktolyngbya limnetica,,,,,,,,,1.949E-04,,,,,,,,,,,,,
Pseudanabaena limnetica,,,,,,,,4.266E-04,,4.444E-04,,1.786E-04,,,,,,9.925E-04,2.918E-03,4.094E-03,1.609E-04,4.466E-03
Synechocystis aquatilis,,4.957E-03,,,1.549E-04,,,,,,,,,,,,,,,,,
Chrysochromulina parva,1.882E-05,3.765E-04,,,2.824E-05,6.212E-04,6.494E-04,,1.017E-03,2.400E-03,8.283E-03,8.896E-03,,2.182E-03,5.222E-04,,1.865E-04,,,,,
Ellipsoidion pachydermum,,1.123E-02,,,,,,,,,,,,,,,,,,,,
Gloeobotrys sp.,,,1.081E-02,,,,,,,,,,,,,,,,,,,
Pseudopedinella gallica,,2.919E-02,8.585E-03,2.930E-02,4.606E-02,4.475E-02,3.219E-02,1.513E-02,2.254E-02,3.316E-02,2.415E-02,,,,,,,,,,,
Desmarella sp.,,,,,,,,,,7.711E-05,3.311E-02,3.100E-03,1.292E-04,9.689E-04,,,,,,,,
Katablepharis ovalis,,2.556E-04,7.412E-03,2.875E-04,1.150E-03,3.354E-03,2.204E-03,,5.655E-03,2.588E-03,2.779E-03,7.646E-03,1.742E-02,3.186E-04,7.080E-04,4.248E-04,7.080E-04,7.080E-04,6.159E-03,,,
