original.taxa.name,resolved.taxa.name,resolved.source
aphanothece nidulans colony 10 *SpecChar*m,NA,NA
aphanocapsa elachista colony 10 *SpecChar*m,NA,NA
chroococcus minimus colony 50 *SpecChar*m,NA,NA
synechocystis sp. 2 *SpecChar*m,NA,NA
pseudanabaena catenata filament 20 *SpecChar*m,NA,NA
aphanocapsa planctonica colony 10 *SpecChar*m,NA,NA
aphanocapsa planctonica colony 50 *SpecChar*m,NA,NA
komvophoron sp. 3 *SpecChar*m,NA,NA
synechocystis sp. 4 *SpecChar*m,NA,NA
chlamydomonas sp. 8 *SpecChar*m,NA,NA
cyclotella spp<9*SpecChar*m /stephanodiscus minutulus <7*SpecChar*m,NA,NA
ochromonas sp. 10 *SpecChar*m,NA,NA
cyclotella spp>9*SpecChar*m /stephanodiscus minutulus >7*SpecChar*m,NA,NA
brachionus urceolaris m*SpecChar*ller,NA,NA
cephalodella catellina m*SpecChar*ller,NA,NA
lecane cornuta m*SpecChar*ller,NA,NA
lecane luna m*SpecChar*ller,NA,NA
lepadella ovalis m*SpecChar*ller,NA,NA
notholca squamula m*SpecChar*ller,NA,NA
simocephalus vetulus m*SpecChar*ller,NA,NA
daphnia galeata mendotae*SpecChar*sars,NA,NA
diacyclops bicuspifatus thomas*SpecChar*forbes,NA,NA
