body size,source code,Authors,Article Title,Source Title,Publication Year,Volume,Issue,Start Page,End Page,DOI,Abstract
D,41,"Fettweis, A; Bergen, B; Hansul, S; De Schamphelaere, K; Smolders, E","Correlated Ni, Cu, and Zn Sensitivities of 8 Freshwater Algal Species and Consequences for Low-Level Metal Mixture Effects",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,2021,40,7,2015,2025,10.1002/etc.5034,explore the correlations of metal sensitivities among species and if these sensitivities or metal mixture interactions are related to growth or morphological traits
D,42,"Choi, JY; Kim, SK","The Use of Winter Water Temperature and Food Composition by the Copepod Cyclops vicinus (Uljanin, 1875) to Provide a Temporal Refuge from Fish Predation",BIOLOGY-BASEL,2021,10,5,,,10.3390/biology10050393,"describe a new defense strategy for Cyclops vicinus, which is vulnerable to fish predation"
D,43,"Broccoli, A; Anselmi, S; Cavallo, A; Ferrari, V; Prevedelli, D; Pastorino, P; Renzi, M","Ecotoxicological effects of new generation pollutants (nanoparticles, amoxicillin and white musk) on freshwater and marine phytoplankton species",CHEMOSPHERE,2021,279,,,,10.1016/j.chemosphere.2021.130623,Effects of new generation pollutants on five phytoplankton species
D,44,"Tseng, M; Di Filippo, CM; Fung, M; Kim, JO; Forster, IP; Zhou, YL",Cascading effects of algal warming in a freshwater community,FUNCTIONAL ECOLOGY,2021,35,4,920,929,10.1111/1365-2435.13752,"How resource quality is also affected by warming, and changes in resource quality can have meaningful effects on the productivity of higher trophic levels"
D,46,"Kazama, T; Urabe, J; Yamamichi, M; Tokita, K; Yin, XW; Katano, I; Doi, H; Yoshida, T; Hairston, NG",A unified framework for herbivore-to-producer biomass ratio reveals the relative influence of four ecological factors,COMMUNICATIONS BIOLOGY,2021,4,1,,,10.1038/s42003-020-01587-9,"Effects of production rate, defense traits and nutrient contents of producers, and predation by carnivores on structure of a community"
D,47,"Amaral, DC; Dunck, B; Braghin, LSM; Fernandes, UL; Bomfim, FF; Bonecker, CC; Lansac-Tôha, FA",Predation by an omnivorous fish and food availability alter zooplankton functional diversity: a microcosm approach,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,2021,93,,,,10.1590/0001-3765202120200778,
D,48,"Chaktraborty, S; Karmaker, D; Rahman, MA; Bali, SC; Das, SK; Hossen, R","Impacts of pH and salinity on community composition, growth and cell morphology of three freshwater phytoplankton",PLANT SCIENCE TODAY,2021,8,3,655,661,10.14719/pst.2021.8.3.1190,"impacts of different pH (pH 5.90 to 9.10) and salinity (0.60 to 3.0 ppt) concentrations on freshwater phytoplankton Chlorella vulgaris, Euglena granulata and Scenedesmus quadricauda. "
D,49,"Macêdo, RL; Franco, ACS; Corrêa, RF; Costa, KD; Pereira, LG; de Oliveira, FDM; Klippel, G; Cordeiro, BD; Thiago, MGR; Rocha, MID; Huszar, VLM; dos Santos, LN; Branco, CWC","Spreading of the invasive dinoflagellate Ceratium furcoides (Levander) Langhans throughout the Paraiba do Sul ecoregion, South America, Brazil",LIMNETICA,2021,40,2,233,246,10.23818/limn.40.16,looks at the invasive  dinoflagellate Ceratium furcoides (Levander) in south america
D,50,"Salmi, P; Mäki, A; Mikkonen, A; Puupponen, VM; Vuorio, K; Tiirola, M",Comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton,BOREAL ENVIRONMENT RESEARCH,2021,26,,17,27,10.17011/jyx/dataset/66278,Comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton
D,51,"Lu, XT; Gao, YY; Weisse, T",Functional Ecology of Two Contrasting Freshwater Ciliated Protists in Relation to Temperature,JOURNAL OF EUKARYOTIC MICROBIOLOGY,2021,68,1,,,10.1111/jeu.12823,"growth rate (numerical response, NR) and ingestion rate (functional response, FR) over a range of ecologically relevant temperatures for two cilliate species"
