"","source.code","original.source.code","list.name","authours","Article.Title","publication","year","volume","issue","start.page.no","end.page.no","doi","abstract","Author.Full.Names","ISSN","eISSN","ISBN","Book.DOI","UT..Unique.WOS.ID."
"16",19,19,"primary data","Baker, HK; Li, SS; Samu, SC; Jones, NT; Symons, CC; Shurin, JB","Prey naivete alters the balance of consumptive and non-consumptive predator effects and shapes trophic cascades in freshwater plankton","OIKOS",2022,2022,"11",NA,NA,"10.1111/oik.09173","How the ecological and evolutionary experience that prey share with a given predator determine their position along the trade off curve of consumptive (CEs) and non-consumptive predator effects (NCEs).","Baker, Henry K.; Li, Stephanie S.; Samu, Stefan C.; Jones, Natalie T.; Symons, Celia C.; Shurin, Jonathan B.","0030-1299","1600-0706","","","WOS:000822743400001"
"17",21,21,"primary data","Titocci, J; Fink, P","Food quality impacts on reproductive traits, development and fatty acid composition of the freshwater calanoid copepod Eudiaptomus sp.","JOURNAL OF PLANKTON RESEARCH",2022,44,"4",528,541,"10.1093/plankt/fbac030","Supplied five different phytoplankton diets to the freshwater calanoid copepod Eudiaptomus sp. to investigate their dietary quality for the copepods' fitness traits over the copepod's entire life cycle","Titocci, Jessica; Fink, Patrick","0142-7873","1464-3774","","","WOS:000814273800001"
"18",22,22,"primary data","Gu, L; Qin, SS; Sun, YF; Huang, J; Akbar, S; Zhang, L; Yang, Z","Coping with antagonistic predation risks: Predator-dependent unique responses are dominant in Ceriodaphnia cornuta","MOLECULAR ECOLOGY",2022,31,"14",3951,3962,"10.1111/mec.16550","Based on antagonistic predation pressure froman invertebrate (Chaoborus larvae) and a vertebrate (Rhodeus ocellatus) predator, westudied the responses of multiple traits and transcriptomes of the freshwater crus-tacean Ceriodaphnia cornuta under multiple predation risks.","Gu, Lei; Qin, Shanshan; Sun, Yunfei; Huang, Jing; Akbar, Siddiq; Zhang, Lu; Yang, Zhou","0962-1083","1365-294X","","","WOS:000807225400001"
"19",25,25,"primary data","Ramaekers, L; Pinceel, T; Brendonck, L; Vanschoenwinkel, B","Direct effects of elevated dissolved CO2 can alter the life history of freshwater zooplankton","SCIENTIFIC REPORTS",2022,12,"1",NA,NA,"10.1038/s41598-022-10094-2","The extent to which freshwater zooplankton may be directly affectedby dissolved CO2 levels (pCO2) ","Ramaekers, Lana; Pinceel, Tom; Brendonck, Luc; Vanschoenwinkel, Bram","2045-2322","","","","WOS:000782202600074"
"20",26,26,"primary data","Gomes, ACAM; Macêdo, RL; Gomes, LF; Velho, LFM; Rocha, O; Vieira, LCG","Range expansion of Kellicottia bostoniensis (Rousselet, 1908) (Rotifera) throughout a biogeographic boundary between the Brazilian savanna and the Amazon","AQUATIC SCIENCES",2022,84,"2",NA,NA,"10.1007/s00027-022-00861-8","surveying Kellicottia bostoniensis in Araguaia River","Missias Gomes, Ana Caroline Alcantara; Macedo, Rafael Lacerda; Gomes, Leonardo Fernandes; Machado Velho, Luiz Felipe; Rocha, Odete; Galli Vieira, Ludgero Cardoso","1015-1621","1420-9055","","","WOS:000776859500003"
"21",29,29,"primary data","Kim, K; Taylor, DJ","Thermal phenotypic plasticity of the second limb in Daphnia","JOURNAL OF PLANKTON RESEARCH",2022,44,"2",259,267,"10.1093/plankt/fbac003","Thermal phenotypic plasticity of the second limb in Daphnia","Kim, Keonho; Taylor, Derek J.","0142-7873","1464-3774","","","WOS:000792132500001"
"22",30,30,"primary data","Dao, TS; Nguyen, VT; Baduel, C; Bui, MH; Tran, VT; Pham, TL; Bui, BT; Dinh, KV","Toxicity of di-2-ethylhexyl phthalate and tris (2-butoxyethyl) phosphate to a tropical micro-crustacean (Ceriodaphnia cornuta) is higher in Mekong River water than in standard laboratory medium","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",2022,29,"26",39777,39789,"10.1007/s11356-022-18993-7","Effect of di(2-ethylhexyl) phthalate (DEHP) and tris (2-butoxyethyl) phosphate (TBOEP) on C.cornuta","Dao, Thanh-Son; Nguyen, Van-Tai; Baduel, Christine; Bui, Manh-Ha; Tran, Viet Tuan; Pham, Thanh-Luu; Bui, Ba-Trung; Dinh, Khuong V.","0944-1344","1614-7499","","","WOS:000750720700014"
"23",32,32,"primary data","Mohanty, TR; Tiwari, NK; Kumari, S; Ray, A; Manna, RK; Bayen, S; Roy, S; Das Gupta, S; Ramteke, MH; Swain, HS; Bhor, M; Das, BK","Variation of Aulacoseira granulata as an eco-pollution indicator in subtropical large river Ganga in India: a multivariate analytical approach","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",2022,29,"25",37498,37512,"10.1007/s11356-021-18096-9","assess major environmental factors which contribute to A. granulata bloom in the riverine system","Mohanty, Trupti Rani; Tiwari, Nitish Kumar; Kumari, Suman; Ray, Archisman; Manna, Ranjan Kumar; Bayen, Supriti; Roy, Shreya; Das Gupta, Subhadeep; Ramteke, Mitesh Hiradas; Swain, Himanshu Sekhar; Bhor, Manisha; Das, Basanta Kumar","0944-1344","1614-7499","","","WOS:000745614100011"
"24",35,35,"primary data","Govaert, L; De Meester, L; Rousseaux, S; Declerck, SAJ; Pantel, JH","Measuring the contribution of evolution to community trait structure in freshwater zooplankton","OIKOS",2021,130,"10",1773,1787,"10.1111/oik.07885","when evolutionary processes are likely to play an important role in structuring community features","Govaert, Lynn; De Meester, Luc; Rousseaux, Sarah; Declerck, Steven A. J.; Pantel, Jelena H.","0030-1299","1600-0706","","","WOS:000687345900001"
"25",37,37,"primary data","Caputo, L; Fuentes, R; Woelfl, S; Castañeda, LE; Cárdenas, L","Phenotypic plasticity of clonal populations of the freshwater jellyfish Craspedacusta sowerbii (Lankester, 1880) in Southern Hemisphere lakes (Chile) and the potential role of the zooplankton diet","AUSTRAL ECOLOGY",2021,46,"8",1192,1197,"10.1111/aec.13087","report synchronous blooms of clonal populations of C. sowerbii in two nordpatagonian lakes","Caputo, Luciano; Fuentes, Romina; Woelfl, Stefan; Castaneda, Luis E.; Cardenas, Leyla","1442-9985","1442-9993","","","WOS:000675245800001"
