"","source.code","original.source.code","list.name","authours","Article.Title","publication","year","volume","issue","start.page.no","end.page.no","doi","abstract","Author.Full.Names","ISSN","eISSN","ISBN","Book.DOI","UT..Unique.WOS.ID."
"57",80,80,"primary data","Bestion, E; García-Carreras, B; Schaum, CE; Pawar, S; Yvon-Durocher, G","Metabolic traits predict the effects of warming on phytoplankton competition","ECOLOGY LETTERS",2018,21,"5",655,664,"10.1111/ele.12932","evelop a theoretical model that links interspecific differences in the temperature dependence of resource acquisition and growth to the outcome of pairwise competition in phytoplankton","Bestion, Elvire; Garcia-Carreras, Bernardo; Schaum, Charlotte-Elisa; Pawar, Samraat; Yvon-Durocher, Gabriel","1461-023X","1461-0248","","","WOS:000430120400006"
"58",82,82,"primary data","Jones, NT; Gilbert, B","Geographic signatures in species turnover: decoupling colonization and extinction across a latitudinal gradient","OIKOS",2018,127,"4",507,517,"10.1111/oik.04590","how zooplankton communities (copepods and cladocerans) have changed over a 25–75 year time span by assessing colonization and extinction rates from lakes across an 1800 km latitudinal gradient, and further tested whether species traits predict rates of community change over time","Jones, Natalie T.; Gilbert, Benjamin","0030-1299","1600-0706","","","WOS:000429006200003"
"59",83,83,"primary data","Wolf, R; Heuschele, J","Water Browning Influences the Behavioral Effects of Ultraviolet Radiation on Zooplankton","FRONTIERS IN ECOLOGY AND EVOLUTION",2018,6,"",NA,NA,"10.3389/fevo.2018.00026","effects of DOM and UV on exploration behavior and other motility patterns","Wolf, Raoul; Heuschele, Jan","2296-701X","","","","WOS:000451615900002"
"60",84,84,"primary data","Kruk, C; Segura, AM; Nogueira, L; Alcántara, I; Calliari, D; de la Escalera, GM; Carballo, C; Cabrera, C; Sarthou, F; Scavone, P; Piccini, C","A multilevel trait-based approach to the ecological performance of Microcystis aeruginosa complex from headwaters to the ocean","HARMFUL ALGAE",2017,70,"",23,36,"10.1016/j.hal.2017.10.004","patterns at multiple levels of organization irrespective of taxonomic identity (i.e. a trait-based approach) were analyzed","Kruk, Carla; Segura, Angel M.; Nogueira, Lucia; Alcantara, Ignacio; Calliari, Danilo; Martinez de la Escalera, Gabriela; Carballo, Carmela; Cabrera, Carolina; Sarthou, Florencia; Scavone, Paola; Piccini, Claudia","1568-9883","1878-1470","","","WOS:000418311500002"
"61",86,86,"primary data","Brennan, GL; Colegrave, N; Collins, S","Evolutionary consequences of multidriver environmental change in an aquatic primary producer","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2017,114,"37",9930,9935,"10.1073/pnas.1703375114","how primary producers at the base of aquatic ecosystems respond to complex environmental change","Brennan, Georgina L.; Colegrave, Nick; Collins, Sinead","0027-8424","","","","WOS:000410293400059"
"62",87,87,"primary data","Hahn, MW; Karbon, G; Koll, U; Schmidt, J; Lang, E","Polynucleobacter sphagniphilus sp nov a planktonic freshwater bacterium isolated from an acidic and humic freshwater habitat","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2017,67,"9",3261,3267,"10.1099/ijsem.0.002096","Strain MWH-Weng1-1T, isolated from an acidic freshwater habitat located in the Wenger Moor, Austria, was characterized by investigating its phenotypic, chemotaxonomic and genomic traits","Hahn, Martin W.; Karbon, Geriinde; Koll, Ulrike; Schmidt, Johanna; Lang, Elke","1466-5026","1466-5034","","","WOS:000417836100021"
"63",89,89,"primary data","Yang, D; Park, S","Freshwater anostracan, Branchinella kugenumaensis, as a potential controlling consumer species on toxic cyanobacteria Microcystis aeruginosa","AQUATIC ECOLOGY",2017,51,"3",449,461,"10.1007/s10452-017-9628-1","evaluate the potential of Branchinella kugenumaensis for cyanobacterial bloom control relative to Daphnia","Yang, Dongwoo; Park, Sangkyu","1386-2588","1573-5125","","","WOS:000408340600009"
"64",90,90,"primary data","Santos-Medrano, GE; Robles-Vargas, D; Hernández-Flores, S; Rico-Martínez, R","Life table demography of Asplanchna brightwellii Gosse, 1850 fed with five different prey items","HYDROBIOLOGIA",2017,796,"1",169,179,"10.1007/s10750-016-3069-z","table experiments on the freshwater rotifer Asplanchna brightwellii to analyze its demography when fed with prey items from several taxonomic groups (cladocerans, protozoans, and rotifers) and under two different temperature regimes (20 and 25°C)","Emilio Santos-Medrano, Gustavo; Robles-Vargas, Daniel; Hernandez-Flores, Sarai; Rico-Martinez, Roberto","0018-8158","1573-5117","","","WOS:000403357600014"
"65",92,92,"primary data","Bramburger, AJ; Reavie, ED; Sgro, GV; Estepp, LR; Chraïbi, VLS; Pillsbury, RW","Decreases in diatom cell size during the 20th century in the Laurentian Great Lakes: a response to warming waters?","JOURNAL OF PLANKTON RESEARCH",2017,39,"2",199,210,"10.1093/plankt/fbx009","Decreases in diatom cell size during the 20th century in the Laurentian Great Lakes","Bramburger, A. J.; Reavie, E. D.; Sgro, G. V.; Estepp, L. R.; Chraibi, V. L. Shaw; Pillsbury, R. W.","0142-7873","1464-3774","","","WOS:000397979400004"
"66",93,93,"primary data","Rocha, GS; Tonietto, AE; Lombardi, AT; Melao, MDG","Effect of copper contaminated food on the life cycle and secondary production of Daphnia laevis","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY",2016,133,"",235,242,"10.1016/j.ecoenv.2016.07.011","valuated the bioaccumulation and effect of Cu on Raphidocelis subcapitata (freshwater algae), and the influence of Cu-contaminated food (algae) on Daphnia laevis (tropical cladoceran)","Rocha, Giseli S.; Tonietto, Alessandra E.; Lombardi, Ana T.; Melao, Maria da G. G.","0147-6513","1090-2414","","","WOS:000384398800027"
"67",97,97,"primary data","Reartes, SBR; Estrada, V; Bazán, R; Larrosa, N; Cossavella, A; López, A; Busso, F; Diaz, MS","Evaluation of ecological effects of anthropogenic nutrient loading scenarios in Los Molinos reservoir through a mathematical model","ECOLOGICAL MODELLING",2016,320,"",393,406,"10.1016/j.ecolmodel.2015.10.028","assess the likely ecosystem structural shifts that might be induced by seven alternative management scenarios relative to current simulated lake dynamics of Los Molinos reservoir","Rodriguez Reartes, S. B.; Estrada, V.; Bazan, R.; Larrosa, N.; Cossavella, A.; Lopez, A.; Busso, F.; Diaz, M. S.","0304-3800","1872-7026","","","WOS:000368313300035"
"68",98,98,"primary data","Liu, X; Beyrend, D; Dur, G; Ban, S","Combined effects of temperature and food concentration on growth and reproduction of Eodiaptomus japonicus (Copepoda: Calanoida) from Lake Biwa (Japan)","FRESHWATER BIOLOGY",2015,60,"10",2003,2018,"10.1111/fwb.12626","effect os food source and temperature on life history traits of  freshwater calanoid copepod Eodiaptomus japonicus ","Liu, Xin; Beyrend, Delphine; Dur, Gael; Ban, Syuhei","0046-5070","1365-2427","","","WOS:000361037900003"
"69",99,99,"primary data","Narwani, A; Alexandrou, MA; Herrin, J; Vouaux, A; Zhou, C; Oakley, TH; Cardinale, BJ","Common Ancestry Is a Poor Predictor of Competitive Traits in Freshwater Green Algae","PLOS ONE",2015,10,"9",NA,NA,"10.1371/journal.pone.0137085","We provide the first investigation of the degree of phylogenetic signal in traits related to competition in freshwater green phytoplankton. ","Narwani, Anita; Alexandrou, Markos A.; Herrin, James; Vouaux, Alaina; Zhou, Charles; Oakley, Todd H.; Cardinale, Bradley J.","1932-6203","","","","WOS:000360897600020"
"70",100,100,"primary data","Behl, S; Stibor, H","Prey diversity and prey identity affect herbivore performance on different time scales in a long term aquatic food-web experiment","OIKOS",2015,124,"9",1192,1202,"10.1111/oik.01463","whether and how diversity-mediated productivity at the base of food-webs influences adjacent trophic levels ","Behl, Stephan; Stibor, Herwig","0030-1299","1600-0706","","","WOS:000360823400009"
"71",101,101,"primary data","Grujcic, V; Kasalicky, V; Simek, K","Prey-Specific Growth Responses of Freshwater Flagellate Communities Induced by Morphologically Distinct Bacteria from the Genus Limnohabitans","APPLIED AND ENVIRONMENTAL MICROBIOLOGY",2015,81,"15",4993,5002,"10.1128/AEM.00396-15","examining bacterial carbon flow to the grazer food chain","Grujcic, Vesna; Kasalicky, Vojtech; Simek, Karel","0099-2240","1098-5336","","","WOS:000357668600014"
"72",102,102,"primary data","Shi, PL; Shen, H; Wang, WJ; Chen, WJ; Xie, P","The relationship between light intensity and nutrient uptake kinetics in six freshwater diatoms","JOURNAL OF ENVIRONMENTAL SCIENCES",2015,34,"",28,36,"10.1016/j.jes.2015.03.003","P and Si-uptake kinetics for diatom species from two light regime","Shi, Pengling; Shen, Hong; Wang, Wenjing; Chen, Wenjie; Xie, Ping","1001-0742","1878-7320","","","WOS:000362980400004"
"73",106,106,"primary data","Kong, YJ; Lou, IC; Zhang, YY; Lou, CU; Mok, KM","Using an online phycocyanin fluorescence probe for rapid monitoring of cyanobacteria in Macau freshwater reservoir","HYDROBIOLOGIA",2014,741,"1",33,49,"10.1007/s10750-013-1759-3","applied and tested an online phycocyanin (PC) fluorescence probe for rapid monitoring of cyanobacteria in the Macau Storage Reservoir (MSR) that is experiencing cyanobacterial blooms.","Kong, Yijun; Lou, Inchio; Zhang, Yiyong; Lou, Chong U.; Mok, Kai Meng","0018-8158","1573-5117","","","WOS:000343998000005"
"74",107,107,"primary data","Souza, JP; Melo, DC; Lombardi, AT; Melao, MGG","Effects of dietborne cadmium on life history and secondary production of a tropical freshwater cladoceran","ECOTOXICOLOGY",2014,23,"9",1764,1773,"10.1007/s10646-014-1341-4","provide life history parameters and secondary production of Simocephalus serrulatus (Koch 1841) (Cladocera: Daphniidae) fed with cadmium (Cd) contaminated algae during a 21-day bioassay.","Souza, J. P.; Melo, D. C.; Lombardi, A. T.; Melao, M. G. G.","0963-9292","1573-3017","","","WOS:000343877400017"
"75",108,108,"primary data","Hahn, MW; Schmidt, J; Taipale, SJ; Doolittle, WF; Koll, U","Rhodoluna lacicola gen. nov., sp nov., a planktonic freshwater bacterium with stream-lined genome","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2014,64,"",3254,3263,"10.1099/ijs.0.065292-0","characterized ‘Candidatus Rhodoluna lacicola ’ strain MWH-Ta8 by phylogenetic and taxonomic investigations, as well as by determination of its complete genome sequence.","Hahn, Martin W.; Schmidt, Johanna; Taipale, Sami J.; Doolittle, W. Ford; Koll, Ulrike","1466-5026","1466-5034","","","WOS:000344912300049"
"76",109,109,"primary data","Vijverberg, J; Dejen, E; Getahun, A; Nagelkerke, LAJ","Zooplankton, fish communities and the role of planktivory in nine Ethiopian lakes","HYDROBIOLOGIA",2014,722,"1",45,60,"10.1007/s10750-013-1674-7","Fish and zooplankton populations of nine Ethiopian freshwater lakes were quantitatively sampled along a North–South gradient","Vijverberg, Jacobus; Dejen, Eshete; Getahun, Abebe; Nagelkerke, Leopold A. J.","0018-8158","1573-5117","","","WOS:000327405400005"
"77",112,112,"primary data","Shatwell, T; Köhler, J; Nicklisch, A","Temperature and photoperiod interactions with silicon-limited growth and competition of two diatoms","JOURNAL OF PLANKTON RESEARCH",2013,35,"5",957,971,"10.1093/plankt/fbt058","ultivated Stephanodiscus minutulus and Nitzschia acicularis (freshwater diatoms) under silicon limitation at different temperatures and photoperiods in continuous and batch culture.","Shatwell, Tom; Koehler, Jan; Nicklisch, Andreas","0142-7873","1464-3774","","","WOS:000323966900003"
"78",113,113,"primary data","Burns, CW","Predictors of invasion success by Daphnia species: influence of food, temperature and species identity","BIOLOGICAL INVASIONS",2013,15,"4",859,869,"10.1007/s10530-012-0335-5","test aspects of reproduction and fitness of the invader, D. ‘pulex’, and D. carinata when grown together at a range of relevant temperatures (8–23 °C) and related photoperiods","Burns, Carolyn W.","1387-3547","1573-1464","","","WOS:000316200700013"
"79",114,114,"primary data","Rolinski, S; Pätz, P; Papendick, K; Jähnichen, S; Scheifhacken, N","Phytoplankton appearance in particle size spectra - Deriving conversion functions between microscopic and particle counter measurements","WATER RESEARCH",2013,47,"5",1928,1940,"10.1016/j.watres.2013.01.024","Field samples, growth experiments and model approaches were used to study the image of phytoplankton derived by two different commonly used and standardized counting methods.","Rolinski, Susanne; Paetz, Patricia; Papendick, Katrin; Jaehnichen, Sabine; Scheifhacken, Nicole","0043-1354","","","","WOS:000315543100021"
"80",115,115,"primary data","Todaro, MA; Perissinotto, R; Bownes, SJ","Neogosseidae (Gastrotricha, Chaetonotida) from the iSimangaliso Wetland Park, KwaZulu-Natal, South Africa","ZOOKEYS",2013,NA,"315",77,94,"10.3897/zookeys.315.5593","Categorising two species of Neogosseidae that were found in a freshwater pond near Charter’s Creek on the Western Shores of Lake St Lucia","Antonio Todaro, M.; Perissinotto, Renzo; Bownes, Sarah J.","1313-2989","1313-2970","","","WOS:000321609900005"
"81",116,116,"primary data","Bozkurt, A; Çelik, K; Sevindik, TO","SEASONAL VARIATIONS IN THE LENGTH OF ZOOPLANKTON RELATED TO CERTAIN PHYSICOCHEMICAL VARIABLES IN TWO FRESHWATER RESERVOIRS","CRUSTACEANA",2012,85,"4-5",447,462,"10.1163/156854012X634401","seasonal variations in the body length of zooplankton were studied in relation to water temperature, nitrate (NO3), soluble reactive phosphorus (SRP), total chlorophyll, Secchi disk depth, pH, conductivity, and oxidation-reduction potential (ORP) in a mesotrophic (Ikizcetepeler) and a eutrophic (Çaygören) reservoir","Bozkurt, Ahmet; Celik, Kemal; Sevindik, Tugba Ongun","0011-216X","1568-5403","","","WOS:000305928900004"
"82",117,117,"primary data","Kumar, R; Souissi, S; Hwang, JS","Vulnerability of carp larvae to copepod predation as a function of larval age and body length","AQUACULTURE",2012,338,"",274,283,"10.1016/j.aquaculture.2012.01.001","quantified vulnerability, susceptibility, and loss of two crucial fish, Labeo rohita and Catla catla, to cyclopoid predation in relation to larval age and body length under laboratory conditions.","Kumar, Ram; Souissi, Sami; Hwang, Jiang-Shiou","0044-8486","1873-5622","","","WOS:000304290700036"
"83",118,118,"primary data","Hahn, MW; Minasyan, A; Lang, E; Koll, U; Spröer, C","Polynucleobacter difficilis sp nov., a planktonic freshwater bacterium affiliated with subcluster B1 of the genus Polynucleobacter","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2012,62,"",376,383,"10.1099/ijs.0.031393-0","Strain AM-8B5T, isolated from Lake Sevan in Armenia, was characterized phenotypically, chemotaxonomically and phylogenetically","Hahn, Martin W.; Minasyan, Arevik; Lang, Elke; Koll, Ulrike; Sproeer, Catrin","1466-5026","1466-5034","","","WOS:000300861600019"
"84",120,120,"primary data","Reiss, J; Schmid-Araya, JM","Feeding response of a benthic copepod to ciliate prey type, prey concentration and habitat complexity","FRESHWATER BIOLOGY",2011,56,"8",1519,1530,"10.1111/j.1365-2427.2011.02590.x","We aimed to quantify the feeding links between a freshwater meiofaunal copepod andciliates","Reiss, Julia; Schmid-Araya, Jenny M.","0046-5070","1365-2427","","","WOS:000292446700005"
"85",121,121,"primary data","Liu, LP; Li, K; Chen, TY; Dai, XL; Jiang, M; Diana, JS","Effects of Microcystis aeruginosa on life history of water flea Daphnia magna","CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY",2011,29,"4",892,897,"10.1007/s00343-011-0518-4","microcystins (MCs) in Microcystis aeruginosa, and Daphnia magna exposed to M. aeruginosa, were analyzed by HPLC-MS, and the effects of M. aeruginosa on D. magna were investigated","Liu Liping; Li Kang; Chen Taoying; Dai Xilin; Jiang Min; Diana, James S.","0254-4059","1993-5005","","","WOS:000292558700018"
"86",122,122,"primary data","Yen, J; Sehn, JK; Catton, K; Kramer, A; Sarnelle, O","Pheromone trail following in three dimensions by the freshwater copepod Hesperodiaptomus shoshone","JOURNAL OF PLANKTON RESEARCH",2011,33,"6",907,916,"10.1093/plankt/fbq164","Using three-dimensional (3D) videography, we show that males of the large-bodied alpine species Hesperodiaptomus shoshone follow pheromones in the female's trail","Yen, Jeannette; Sehn, Jennifer K.; Catton, Kimberly; Kramer, Andrew; Sarnelle, Orlando","0142-7873","1464-3774","","","WOS:000290394300006"
"87",123,123,"primary data","Hahn, MW; Lang, E; Tarao, M; Brandt, U","Polynucleobacter rarus sp. nov., a free-living planktonic bacterium isolated from an acidic lake","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2011,61,"",781,787,"10.1099/ijs.0.017350-0","strain MT-CBb6A5T, which was isolated from an acidic lake located in Wisconsin (USA), was characterized","Hahn, Martin W.; Lang, Elke; Tarao, Mitsunori; Brandt, Ulrike","1466-5026","","","","WOS:000290135000015"
"88",124,124,"primary data","Hahn, MW; Lang, E; Brandt, U; Spröer, C","Polynucleobacter acidiphobus sp. nov., a representative of an abundant group of planktonic freshwater bacteria","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2011,61,"",788,794,"10.1099/ijs.0.023929-0","strain MWH-PoolGreenA3T, isolated from a rock pool filled with freshwater, was characterized","Hahn, Martin W.; Lang, Eike; Brandt, Ulrike; Sproeer, Cathrin","1466-5026","1466-5034","","","WOS:000290135000016"
"89",125,125,"primary data","Kramer, AM; Sarnelle, O; Yen, J","The effect of mating behavior and temperature variation on the critical population density of a freshwater copepod","LIMNOLOGY AND OCEANOGRAPHY",2011,56,"2",707,715,"10.4319/lo.2011.56.2.0707","combining three-dimensional video analysis ofmating behavior with life history data from natural populations we estimated H. shoshone critical density","Kramer, Andrew M.; Sarnelle, Orlando; Yen, Jeannette","0024-3590","1939-5590","","","WOS:000290677800025"
"90",126,126,"primary data","Silva-Briano, M; Suárez-Morales, E; Ortiz, AA; Reyes-Flores, M","Two species of Mastigodiaptomus (Copepoda: Diaptomidae), hosts of the epibiotic ciliate Trichodina diaptomi (Peritricha) in North America","JOURNAL OF LIMNOLOGY",2011,70,"2",329,333,"10.4081/jlimnol.2011.329","identifying T.diaptomi from a sample from mexico","Silva-Briano, Marcelo; Suarez-Morales, Eduardo; Adabache Ortiz, Araceli; Reyes-Flores, Montserrat","1129-5767","1723-8633","","","WOS:000294320400020"
"91",127,127,"primary data","Kasalicky, V; Jezbera, J; Simek, K; Hahn, MW","Limnohabitans planktonicus sp nov and Limnohabitans parvus sp nov., planktonic betaproteobacteria isolated from a freshwater reservoir, and emended description of the genus Limnohabitans","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2010,60,"",2710,2714,"10.1099/ijs.0.018952-0","Two bacterial strains, II-B4T and II-D5T, isolated from the meso-eutrophic freshwater Římov reservoir (Czech Republic), were characterized phenotypically","Kasalicky, Vojtech; Jezbera, Jan; Simek, Karel; Hahn, Martin W.","1466-5026","1466-5034","","","WOS:000286169100003"
"92",128,128,"primary data","Mano, H; Sakamoto, M; Tanaka, Y","A comparative study of insecticide toxicity among seven cladoceran species","ECOTOXICOLOGY",2010,19,"8",1620,1625,"10.1007/s10646-010-0547-3","The sensitivities of seven cladoceran species (Ceriodaphnia reticulata, Chydorus sphaericus, Daphnia galeata, Diaphanosoma brachyurum, Moina macrocopa, Scapholeberis kingi, and Simocephalus vetulus) to carbamate insecticides (carbaryl and methomyl) were investigated by acute toxicity tests","Mano, Hiroyuki; Sakamoto, Masaki; Tanaka, Yoshinari","0963-9292","1573-3017","","","WOS:000284363800025"
"93",129,129,"primary data","Yin, XW; Liu, PF; Zhu, SS; Chen, XX","Food selectivity of the herbivore Daphnia magna (Cladocera) and its impact on competition outcome between two freshwater green algae","HYDROBIOLOGIA",2010,655,"1",15,23,"10.1007/s10750-010-0399-0","does otimal foraging theory lead to lead to small-sized Chlorella becoming a superior competitor in the presence of Daphnia.","Yin, Xu Wang; Liu, Peng Fei; Zhu, Sha Sha; Chen, Xiao Xia","0018-8158","1573-5117","","","WOS:000282179900002"
"94",130,130,"primary data","Rojo, C; Salazar, G","Why are there so many kinds of planktonic consumers? The answer lies in the allometric diet breadth","HYDROBIOLOGIA",2010,653,"1",91,102,"10.1007/s10750-010-0346-0","apply the ADBM to infer the feeding linkages within a freshwater planktonic community of a Spanish oligo-mesotrophic lake and three spatial partitions of it","Rojo, Carmen; Salazar, Guillem","0018-8158","","","","WOS:000280092100008"
"95",131,131,"primary data","Hahn, MW; Kasalicky, V; Jezbera, J; Brandt, U; Jezberová, J; Simek, K","Limnohabitans curvus gen. nov., sp nov., a planktonic bacterium isolated from a freshwater lake","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2010,60,"",1358,1365,"10.1099/ijs.0.013292-0","strain, MWH-C5T, isolated from the water column of the oligomesotrophic Lake Mondsee (Austria), was characterized phenotypically, phylogenetically and chemotaxonomically","Hahn, Martin W.; Kasalicky, Vojtech; Jezbera, Jan; Brandt, Ulrike; Jezberova, Jitka; Simek, Karel","1466-5026","","","","WOS:000279369100019"
"96",133,133,"primary data","Sakamoto, M; Hanazato, T; Tanaka, Y","Impact of an Insecticide on Persistence of Inherent Antipredator Morphology of a Small Cladoceran, Bosmina","ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY",2009,57,"1",68,76,"10.1007/s00244-008-9247-x","assessed the impacts of an insecticide, carbaryl, on the life-history parameters of a polymorphic cladoceran, Bosmina longirostris, and on Bosmina–copepod interaction","Sakamoto, Masaki; Hanazato, Takayuki; Tanaka, Yoshinari","0090-4341","1432-0703","","","WOS:000266266200008"
"97",134,134,"primary data","Ki, JS; Cho, SY; Katano, T; Jung, SW; Lee, J; Park, BS; Kang, SH; Han, MS","Comprehensive comparisons of three pennate diatoms, Diatoma tenuae, Fragilaria vaucheriae, and Navicula pelliculosa, isolated from summer Arctic reservoirs (Svalbard 79A°N), by fine-scale morphology and nuclear 18S ribosomal DNA","POLAR BIOLOGY",2009,32,"2",147,159,"10.1007/s00300-008-0514-0","report morphological and molecular characteristics of dominant freshwater diatoms in summer Arctic reservoirs of Svalbard (Norway)","Ki, Jang-Seu; Cho, Soo-Yeon; Katano, Toshiya; Jung, Seung Won; Lee, Juyun; Park, Bum Soo; Kang, Sung-Ho; Han, Myung-Soo","0722-4060","1432-2056","","","WOS:000262439300002"
"98",138,138,"primary data","Matthews, B; Mazumder, A","Detecting trophic-level variation in consumer assemblages","FRESHWATER BIOLOGY",2008,53,"10",1942,1953,"10.1111/j.1365-2427.2008.02018.x","We examined the sources of variation in zooplankton ΔN by measuring the trophic enrichment (ΔN) of seven species of freshwater cladocerans, and by testing for an effect of age and temperature on the ΔN of Daphnia pulicaria","Matthews, Blake; Mazumder, Asit","0046-5070","","","","WOS:000259148200003"
"99",140,140,"primary data","Rowe, CL; Adamowicz, SJ; Hebert, PDN","Three new cryptic species of the freshwater zooplankton genus Holopedium (Crustacea: Branchiopoda: Ctenopoda), revealed by genetic methods","ZOOTAXA",2007,NA,"1656",1,49,"NA2","Here, we provide the first large-scale examination of taxonomic diversity in the genus Holopedium","Rowe, Chad L.; Adamowicz, Sarah J.; Hebert, Paul D. N.","1175-5326","1175-5334","","","WOS:000251533200001"
"100",141,141,"primary data","Sigee, DC; Bahram, F; Estrada, B; Webster, RE; Dean, AP","The influence of phosphorus availability on carbon allocation and P quota in Scenedesmus subspicatus:: A synchrotron-based FTIR analysis","PHYCOLOGIA",2007,46,"5",583,592,"10.2216/07-14.1","Synchrotron-based Fourier transform infrared (FTIR) microspectroscopy was used to characterise the molecular composition of the freshwater alga Scenedesmus subspicatus, cultured at three different initial concentrations of phosphorus","Sigee, David Charles; Bahram, Fariba; Estrada, Beatriz; Webster, Rachel Elizabeth; Dean, Andrew Peter","0031-8884","","","","WOS:000249353600009"
"101",142,142,"primary data","Pannard, A; Bormans, M; Lefebvre, S; Claquin, P; Lagadeuc, Y","Phytoplankton size distribution and community structure: influence of nutrient input and sedimentary loss","JOURNAL OF PLANKTON RESEARCH",2007,29,"7",583,598,"10.1093/plankt/fbm040","examines the effects of nutrient availability and sedimentary loss on the dynamics of freshwater phytoplankton, from the physiological state at the cellular level to the competition issue at the community level","Pannard, Alexandrine; Bormans, Myriam; Lefebvre, Sebastien; Claquin, Pascal; Lagadeuc, Yvan","0142-7873","1464-3774","","","WOS:000248086500002"
"102",143,143,"primary data","Jezberová, J; Komárková, J","Morphometry and growth of three Synechococcus-like picoplanktic cyanobacteria at different culture conditions","HYDROBIOLOGIA",2007,578,"1",17,27,"10.1007/s10750-006-0429-0","Three phycocyanin-rich strains of Synechococcus-like picoplanktic cyanobacteria, isolated from the plankton of Czech oligotrophic to eutrophic freshwater reservoirs, were investigated in crossed gradients of light and temperature and in combination with two different culture media (BG-11 and WC)","Jezberova, Jitka; Komarkova, Jaroslava","0018-8158","1573-5117","","","WOS:000244308300003"
"103",146,146,"primary data","Bittencourt-Oliveira, MD; Moura, AD; Gouvea-Barros, S; Pinto, E","HIP1 DNA fingerprinting in Microcystis panniformis (Chroococcales, Cyanobacteria)","PHYCOLOGIA",2007,46,"1",3,9,"10.2216/06-01.1","explores genetic diversity among 14 strains of M. panniformis isolated from 4 freshwater reservoirs in 2 different Brazilian regions","Bittencourt-Oliveira, Maria Do Carmo; Moura, Ariadne Do Nascimento; Gouvea-Barros, Selma; Pinto, Ernani","0031-8884","","","","WOS:000243447300002"
"104",148,148,"primary data","Weisse, T; Stadler, P","Effect of pH on growth, cell volume, and production of freshwater ciliates, and implications for their distribution","LIMNOLOGY AND OCEANOGRAPHY",2006,51,"4",1708,1715,"10.4319/lo.2006.51.4.1708","We investigated the effect of pH on growth, cell volume, and production of the freshwater ciliates Urotrichafarcta, U. furcata, and U. castalia","Weisse, Thomas; Stadler, Peter","0024-3590","","","","WOS:000239262200015"
"105",149,149,"primary data","Passarge, J; Hol, S; Escher, M; Huisman, J","Competition for nutrients and light: Stable coexistence, alternative stable states, or competitive exclusion?","ECOLOGICAL MONOGRAPHS",2006,76,"1",57,72,"10.1890/04-1824","nvestigation of competition among phytoplankton species","Passarge, J; Hol, S; Escher, M; Huisman, J","0012-9615","1557-7015","","","WOS:000236562100005"
"106",151,151,"primary data","Kuczynska-Kippen, N","On body size and habitat selection in rotifers in a macrophye-dominated lake Budzynskie, Poland","AQUATIC ECOLOGY",2005,39,"4",447,454,"10.1007/s10452-005-9003-5","Measuring the difference in rotifer densities in different locations of a lake","Kuczynska-Kippen, N","1386-2588","1573-5125","","","WOS:000233733400006"
"107",152,152,"primary data","Hawkins, PR; Holliday, J; Kathuria, A; Bowling, L","Change in cyanobacterial biovolume due to preservation by Lugol's Iodine","HARMFUL ALGAE",2005,4,"6",1033,1043,"10.1016/j.hal.2005.03.001","Change in cyanobacterial biovolume due to preservation by Lugol's Iodine","Hawkins, PR; Holliday, J; Kathuria, A; Bowling, L","1568-9883","1878-1470","","","WOS:000233325900007"
"108",153,153,"primary data","Jankowski, T; Strauss, T; Ratte, HT","Trophic interactions of the freshwater jellyfish Craspedacusta sowerbii","JOURNAL OF PLANKTON RESEARCH",2005,27,"8",811,823,"10.1093/plankt/fbi055","The predatory impact and the trophic role of the freshwater jellyfish, Craspedacusta sowerbii, was studied using microcosm and enclosure experiments as well as a 3-year pond survey","Jankowski, T; Strauss, T; Ratte, HT","0142-7873","","","","WOS:000232593000009"
"109",157,157,"primary data","Peña-Castro, JM; Martínez-Jerónimo, F; Esparza-García, F; Cañizares-Villanueva, RO","Phenotypic plasticity in Scenedesmus incrassatulus (Chlorophyceae) in response to heavy metals stress","CHEMOSPHERE",2004,57,"11",1629,1636,"10.1016/j.chemosphere.2004.06.041","phenotypic plasticity of Scenedesmus incrassatulus (a non-spiny, four-cell coenobium forming species) in response to EC50 value of copper, cadmium and hexavalent chromium","Peña-Castro, JM; Martínez-Jerónimo, F; Esparza-García, F; Cañizares-Villanueva, RO","0045-6535","1879-1298","","","WOS:000225053400006"
