resolved.taxa.name,tax.uid,form,variety,species,genus,family,order,class,phylum,kingdom,rank,source,check
Glenodinium paululum,tax-5308,NA,NA,Glenodinium paululum,Glenodinium,,Peridiniales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Glenodinium pilula,tax-5309,NA,NA,Glenodinium pilula,Glenodinium,,Peridiniales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Glenodinium warmingii,tax-5310,NA,NA,Glenodinium warmingii,Glenodinium,,Peridiniales,Dinophyceae,Miozoa,NA,species,AlgaeBase,check
Hexamitus pusillus,tax-5422,NA,NA,Hexamitus pusillus,Hexamitus,,,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Hortobagyiella verrucosa,tax-5430,NA,NA,Hortobagyiella verrucosa,Hortobagyiella,,,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Pseudochattonella verruculosa,tax-5792,NA,NA,Pseudochattonella verruculosa,Pseudochattonella,,Florenciellales,Dictyochophyceae,Ochrophyta,NA,species,AlgaeBase,check
Schizothrix arenaria,tax-5883,NA,NA,Schizothrix arenaria,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix braunii,tax-5884,NA,NA,Schizothrix braunii,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix calcicola,tax-5885,NA,NA,Schizothrix calcicola,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix cuspidata,tax-5886,NA,NA,Schizothrix cuspidata,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix delicatissima,tax-5887,NA,NA,Schizothrix delicatissima,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix ericetorum,tax-5888,NA,NA,Schizothrix ericetorum,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix facilis,tax-5889,NA,NA,Schizothrix facilis,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix fragilis,tax-5890,NA,NA,Schizothrix fragilis,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix funalis,tax-5891,NA,NA,Schizothrix funalis,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix funiculus,tax-5892,NA,NA,Schizothrix funiculus,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix helva,tax-5893,NA,NA,Schizothrix helva,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix heufleri,tax-5894,NA,NA,Schizothrix heufleri,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix lacustris,tax-5895,NA,NA,Schizothrix lacustris,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix lardacea,tax-5896,NA,NA,Schizothrix lardacea,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
